Gene	GOID	ONTOLOGY	TERM
MYCTH_101399	GO:0008080	MF	N-acetyltransferase activity
MYCTH_101411	GO:0006436	BP	tryptophanyl-tRNA aminoacylation
MYCTH_101411	GO:0005524	MF	ATP binding
MYCTH_101411	GO:0004830	MF	tryptophan-tRNA ligase activity
MYCTH_101411	GO:0000166	MF	nucleotide binding
MYCTH_101411	GO:0006412	BP	translation
MYCTH_101411	GO:0005840	CC	ribosome
MYCTH_101411	GO:0003735	MF	structural constituent of ribosome
MYCTH_101411	GO:0005524	MF	ATP binding
MYCTH_101411	GO:0004812	MF	aminoacyl-tRNA ligase activity
MYCTH_101411	GO:0006418	BP	tRNA aminoacylation for protein translation
MYCTH_101411	GO:0000166	MF	nucleotide binding
MYCTH_101506	GO:0005515	MF	protein binding
MYCTH_101575	GO:0003676	MF	nucleic acid binding
MYCTH_101588	GO:0016311	BP	dephosphorylation
MYCTH_101588	GO:0004725	MF	protein tyrosine phosphatase activity
MYCTH_101679	GO:0005515	MF	protein binding
MYCTH_10175	GO:0042025	CC	host cell nucleus
MYCTH_10175	GO:0006355	BP	regulation of transcription
MYCTH_10175	GO:0000981	MF	 DNA-templated
MYCTH_10175	GO:0008270	MF	DNA-binding transcription factor activity
MYCTH_10175	GO:0006351	BP	 RNA polymerase II-specific
MYCTH_10175	GO:0005634	CC	zinc ion binding
MYCTH_10175	GO:0003677	MF	transcription
MYCTH_10175	GO:0008270	MF	 DNA-templated
MYCTH_101800	GO:0006683	BP	galactosylceramide catabolic process
MYCTH_101800	GO:0004336	MF	galactosylceramidase activity
MYCTH_101800	GO:0004348	MF	glucosylceramidase activity
MYCTH_101800	GO:0006665	BP	sphingolipid metabolic process
MYCTH_101870	GO:0003676	MF	nucleic acid binding
MYCTH_101972	GO:0003824	MF	catalytic activity
MYCTH_101972	GO:0004560	MF	alpha-L-fucosidase activity
MYCTH_102118	GO:0030411	MF	scytalone dehydratase activity
MYCTH_102118	GO:0006582	BP	melanin metabolic process
MYCTH_102226	GO:0016787	MF	hydrolase activity
MYCTH_102295	GO:0006807	BP	nitrogen compound metabolic process
MYCTH_102322	GO:0030570	MF	pectate lyase activity
MYCTH_102322	GO:0005576	CC	extracellular region
MYCTH_102790	GO:0048288	BP	nuclear membrane fusion involved in karyogamy
MYCTH_102790	GO:0000742	BP	karyogamy involved in conjugation with cellular fusion
MYCTH_102792	GO:0005515	MF	protein binding
MYCTH_102797	GO:0030001	BP	metal ion transport
MYCTH_102797	GO:0046872	MF	metal ion binding
MYCTH_102797	GO:0000166	MF	nucleotide binding
MYCTH_102797	GO:0016021	CC	integral component of membrane
MYCTH_102797	GO:0016021	CC	integral component of membrane
MYCTH_102797	GO:0006812	BP	cation transport
MYCTH_102797	GO:0019829	MF	ATPase-coupled cation transmembrane transporter activity
MYCTH_102849	GO:0008061	MF	chitin binding
MYCTH_102871	GO:0042025	CC	host cell nucleus
MYCTH_102871	GO:0006355	BP	regulation of transcription
MYCTH_102871	GO:0000981	MF	 DNA-templated
MYCTH_102871	GO:0008270	MF	DNA-binding transcription factor activity
MYCTH_102871	GO:0006351	BP	 RNA polymerase II-specific
MYCTH_102871	GO:0005634	CC	zinc ion binding
MYCTH_102871	GO:0003677	MF	transcription
MYCTH_102871	GO:0008270	MF	 DNA-templated
MYCTH_102943	GO:0016787	MF	hydrolase activity
MYCTH_102965	GO:0016705	MF	oxidoreductase activity
MYCTH_102965	GO:0020037	MF	 acting on paired donors
MYCTH_102965	GO:0005506	MF	 with incorporation or reduction of molecular oxygen
MYCTH_102965	GO:0055114	BP	heme binding
MYCTH_102965	GO:0016705	MF	iron ion binding
MYCTH_102965	GO:0005506	MF	oxidation-reduction process
MYCTH_102965	GO:0020037	MF	oxidoreductase activity
MYCTH_102965	GO:0055114	BP	 acting on paired donors
MYCTH_102965	GO:0016705	MF	 with incorporation or reduction of molecular oxygen
MYCTH_102965	GO:0055114	BP	iron ion binding
MYCTH_102971	GO:0050660	MF	flavin adenine dinucleotide binding
MYCTH_102971	GO:0050660	MF	flavin adenine dinucleotide binding
MYCTH_102971	GO:0016491	MF	oxidoreductase activity
MYCTH_102971	GO:0055114	BP	oxidation-reduction process
MYCTH_102971	GO:0071949	MF	FAD binding
MYCTH_102977	GO:0055085	BP	transmembrane transport
MYCTH_102977	GO:0022857	MF	transmembrane transporter activity
MYCTH_102985	GO:0003824	MF	catalytic activity
MYCTH_102997	GO:0055085	BP	transmembrane transport
MYCTH_102997	GO:0022857	MF	transmembrane transporter activity
MYCTH_102997	GO:0022857	MF	transmembrane transporter activity
MYCTH_103032	GO:0004553	MF	hydrolase activity
MYCTH_103032	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_103032	GO:0046558	MF	carbohydrate metabolic process
MYCTH_103061	GO:0031177	MF	phosphopantetheine binding
MYCTH_103061	GO:0003824	MF	catalytic activity
MYCTH_103061	GO:0016740	MF	transferase activity
MYCTH_103061	GO:0016491	MF	oxidoreductase activity
MYCTH_103080	GO:0016829	MF	lyase activity
MYCTH_103080	GO:0003824	MF	catalytic activity
MYCTH_103096	GO:0003824	MF	catalytic activity
MYCTH_103096	GO:0016740	MF	transferase activity
MYCTH_103096	GO:0016491	MF	oxidoreductase activity
MYCTH_103096	GO:0031177	MF	phosphopantetheine binding
MYCTH_103122	GO:0006468	BP	protein phosphorylation
MYCTH_103122	GO:0005524	MF	ATP binding
MYCTH_103122	GO:0004672	MF	protein kinase activity
MYCTH_103330	GO:0016787	MF	hydrolase activity
MYCTH_103334	GO:0008496	MF	mannan endo-1
MYCTH_103334	GO:0016052	BP	6-alpha-mannosidase activity
MYCTH_103334	GO:0003824	MF	carbohydrate catabolic process
MYCTH_103379	GO:0055114	BP	oxidation-reduction process
MYCTH_103379	GO:0016491	MF	oxidoreductase activity
MYCTH_103590	GO:0050660	MF	flavin adenine dinucleotide binding
MYCTH_103590	GO:0016614	MF	oxidoreductase activity
MYCTH_103590	GO:0055114	BP	 acting on CH-OH group of donors
MYCTH_103590	GO:0016614	MF	oxidation-reduction process
MYCTH_103590	GO:0055114	BP	oxidoreductase activity
MYCTH_103590	GO:0046577	MF	 acting on CH-OH group of donors
MYCTH_103590	GO:0055114	BP	oxidation-reduction process
MYCTH_103611	GO:0005544	MF	calcium-dependent phospholipid binding
MYCTH_103611	GO:0005509	MF	calcium ion binding
MYCTH_103628	GO:0006468	BP	protein phosphorylation
MYCTH_103628	GO:0004672	MF	protein kinase activity
MYCTH_103628	GO:0006468	BP	protein phosphorylation
MYCTH_103628	GO:0005524	MF	ATP binding
MYCTH_103628	GO:0004672	MF	protein kinase activity
MYCTH_103702	GO:0016853	MF	isomerase activity
MYCTH_103702	GO:0005975	BP	carbohydrate metabolic process
MYCTH_103702	GO:0003824	MF	catalytic activity
MYCTH_103702	GO:0005975	BP	carbohydrate metabolic process
MYCTH_103702	GO:0030246	MF	carbohydrate binding
MYCTH_103702	GO:0030246	MF	carbohydrate binding
MYCTH_103794	GO:0055085	BP	transmembrane transport
MYCTH_103794	GO:0022857	MF	transmembrane transporter activity
MYCTH_103794	GO:0022857	MF	transmembrane transporter activity
MYCTH_103797	GO:0022857	MF	transmembrane transporter activity
MYCTH_103797	GO:0055085	BP	transmembrane transport
MYCTH_103797	GO:0022857	MF	transmembrane transporter activity
MYCTH_103797	GO:0016021	CC	integral component of membrane
MYCTH_103797	GO:0055085	BP	transmembrane transport
MYCTH_103797	GO:0016020	CC	membrane
MYCTH_103797	GO:0022857	MF	transmembrane transporter activity
MYCTH_103797	GO:0055085	BP	transmembrane transport
MYCTH_103797	GO:0016021	CC	integral component of membrane
MYCTH_103797	GO:0022857	MF	transmembrane transporter activity
MYCTH_103867	GO:0016567	BP	protein ubiquitination
MYCTH_103867	GO:0004842	MF	ubiquitin-protein transferase activity
MYCTH_104059	GO:0003678	MF	DNA helicase activity
MYCTH_104059	GO:0005524	MF	ATP binding
MYCTH_104059	GO:0005634	CC	nucleus
MYCTH_104059	GO:0016818	MF	hydrolase activity
MYCTH_104059	GO:0003678	MF	 acting on acid anhydrides
MYCTH_104059	GO:0006289	BP	 in phosphorus-containing anhydrides
MYCTH_104059	GO:0003677	MF	DNA helicase activity
MYCTH_104059	GO:0003678	MF	nucleotide-excision repair
MYCTH_104059	GO:0005524	MF	DNA binding
MYCTH_104059	GO:0003677	MF	DNA helicase activity
MYCTH_104059	GO:0005524	MF	ATP binding
MYCTH_104059	GO:0003678	MF	DNA binding
MYCTH_104059	GO:0016818	MF	ATP binding
MYCTH_104059	GO:0005524	MF	DNA helicase activity
MYCTH_104059	GO:0006139	BP	hydrolase activity
MYCTH_104059	GO:0016818	MF	 acting on acid anhydrides
MYCTH_104059	GO:0003676	MF	 in phosphorus-containing anhydrides
MYCTH_104059	GO:0004386	MF	ATP binding
MYCTH_104076	GO:0004368	MF	glycerol-3-phosphate dehydrogenase (quinone) activity
MYCTH_104076	GO:0009331	CC	glycerol-3-phosphate dehydrogenase complex
MYCTH_104076	GO:0006072	BP	glycerol-3-phosphate metabolic process
MYCTH_104076	GO:0055114	BP	oxidation-reduction process
MYCTH_104076	GO:0016491	MF	oxidoreductase activity
MYCTH_104076	GO:0055114	BP	oxidation-reduction process
MYCTH_104106	GO:0004553	MF	hydrolase activity
MYCTH_104106	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_104267	GO:0003725	MF	double-stranded RNA binding
MYCTH_104380	GO:0046982	MF	protein heterodimerization activity
MYCTH_104551	GO:0016791	MF	phosphatase activity
MYCTH_104570	GO:0003824	MF	catalytic activity
MYCTH_104628	GO:0004553	MF	hydrolase activity
MYCTH_104628	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_104665	GO:0005515	MF	protein binding
MYCTH_104673	GO:0055085	BP	transmembrane transport
MYCTH_104673	GO:0016021	CC	integral component of membrane
MYCTH_104673	GO:0022857	MF	transmembrane transporter activity
MYCTH_104673	GO:0022857	MF	transmembrane transporter activity
MYCTH_104673	GO:0055085	BP	transmembrane transport
MYCTH_104673	GO:0022857	MF	transmembrane transporter activity
MYCTH_104673	GO:0016021	CC	integral component of membrane
MYCTH_104673	GO:0055085	BP	transmembrane transport
MYCTH_104673	GO:0016020	CC	membrane
MYCTH_104673	GO:0022857	MF	transmembrane transporter activity
MYCTH_104674	GO:0004553	MF	hydrolase activity
MYCTH_104674	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_104674	GO:0003824	MF	carbohydrate metabolic process
MYCTH_104674	GO:0005975	BP	catalytic activity
MYCTH_104674	GO:0030246	MF	carbohydrate metabolic process
MYCTH_104717	GO:0005524	MF	ATP binding
MYCTH_104717	GO:0016887	MF	ATPase activity
MYCTH_104717	GO:0055085	BP	transmembrane transport
MYCTH_104717	GO:0005524	MF	ATP binding
MYCTH_104717	GO:0042626	MF	ATPase-coupled transmembrane transporter activity
MYCTH_104717	GO:0016021	CC	integral component of membrane
MYCTH_104717	GO:0005524	MF	ATP binding
MYCTH_104717	GO:0016021	CC	integral component of membrane
MYCTH_104936	GO:0003824	MF	catalytic activity
MYCTH_105006	GO:0005515	MF	protein binding
MYCTH_105063	GO:0004048	MF	anthranilate phosphoribosyltransferase activity
MYCTH_105063	GO:0000162	BP	tryptophan biosynthetic process
MYCTH_105063	GO:0016757	MF	transferase activity
MYCTH_105072	GO:0000079	BP	regulation of cyclin-dependent protein serine/threonine kinase activity
MYCTH_105072	GO:0019901	MF	protein kinase binding
MYCTH_105157	GO:0005515	MF	protein binding
MYCTH_105197	GO:0008270	MF	zinc ion binding
MYCTH_105405	GO:0006412	BP	translation
MYCTH_105405	GO:0005840	CC	ribosome
MYCTH_105405	GO:0003735	MF	structural constituent of ribosome
MYCTH_105405	GO:0006412	BP	translation
MYCTH_105482	GO:0016788	MF	hydrolase activity
MYCTH_105482	GO:0009058	BP	 acting on ester bonds
MYCTH_105482	GO:0016740	MF	biosynthetic process
MYCTH_105482	GO:0031177	MF	transferase activity
MYCTH_105482	GO:0003824	MF	phosphopantetheine binding
MYCTH_105575	GO:0008519	MF	ammonium transmembrane transporter activity
MYCTH_105575	GO:0072488	BP	ammonium transmembrane transport
MYCTH_105575	GO:0016020	CC	membrane
MYCTH_105575	GO:0008519	MF	ammonium transmembrane transporter activity
MYCTH_105575	GO:0016020	CC	membrane
MYCTH_105575	GO:0015696	BP	ammonium transport
MYCTH_105669	GO:0005515	MF	protein binding
MYCTH_105669	GO:0006338	BP	chromatin remodeling
MYCTH_105669	GO:0016586	CC	RSC-type complex
MYCTH_105822	GO:0003676	MF	nucleic acid binding
MYCTH_105847	GO:0016747	MF	transferase activity
MYCTH_105847	GO:0003824	MF	 transferring acyl groups other than amino-acyl groups
MYCTH_10609	GO:0016573	BP	histone acetylation
MYCTH_10609	GO:0006355	BP	regulation of transcription
MYCTH_10609	GO:0004402	MF	 DNA-templated
MYCTH_106293	GO:0005515	MF	protein binding
MYCTH_106293	GO:0008092	MF	cytoskeletal protein binding
MYCTH_106293	GO:0030674	MF	protein-macromolecule adaptor activity
MYCTH_106293	GO:0042802	MF	identical protein binding
MYCTH_106293	GO:0043130	MF	ubiquitin binding
MYCTH_106293	GO:0006897	BP	endocytosis
MYCTH_106346	GO:0003854	MF	3-beta-hydroxy-delta5-steroid dehydrogenase activity
MYCTH_106346	GO:0006694	BP	steroid biosynthetic process
MYCTH_106346	GO:0055114	BP	oxidation-reduction process
MYCTH_106346	GO:0016616	MF	oxidoreductase activity
MYCTH_106388	GO:0008270	MF	zinc ion binding
MYCTH_106388	GO:0017136	MF	NAD-dependent histone deacetylase activity
MYCTH_106388	GO:0070403	MF	NAD+ binding
MYCTH_106527	GO:0000155	MF	phosphorelay sensor kinase activity
MYCTH_106527	GO:0007165	BP	signal transduction
MYCTH_106527	GO:0007165	BP	signal transduction
MYCTH_106527	GO:0000155	MF	phosphorelay sensor kinase activity
MYCTH_106527	GO:0000160	BP	phosphorelay signal transduction system
MYCTH_106527	GO:0016772	MF	transferase activity
MYCTH_106527	GO:0016310	BP	 transferring phosphorus-containing groups
MYCTH_106618	GO:0005737	CC	cytoplasm
MYCTH_106618	GO:0005524	MF	ATP binding
MYCTH_106618	GO:0000184	BP	nuclear-transcribed mRNA catabolic process
MYCTH_106618	GO:0008270	MF	 nonsense-mediated decay
MYCTH_106618	GO:0003677	MF	zinc ion binding
MYCTH_106618	GO:0004386	MF	DNA binding
MYCTH_106768	GO:0016491	MF	oxidoreductase activity
MYCTH_106768	GO:0034599	BP	cellular response to oxidative stress
MYCTH_106768	GO:0016657	MF	oxidoreductase activity
MYCTH_106798	GO:0016787	MF	hydrolase activity
MYCTH_106827	GO:0008080	MF	N-acetyltransferase activity
MYCTH_106950	GO:0008380	BP	RNA splicing
MYCTH_107134	GO:0005515	MF	protein binding
MYCTH_107142	GO:0046907	BP	intracellular transport
MYCTH_107178	GO:0004553	MF	hydrolase activity
MYCTH_107178	GO:0005975	BP	 hydrolyzing O-glycosyl compounds
MYCTH_107255	GO:0005515	MF	protein binding
MYCTH_107255	GO:0006283	BP	transcription-coupled nucleotide-excision repair
MYCTH_107295	GO:0042025	CC	host cell nucleus
MYCTH_107295	GO:0006355	BP	regulation of transcription
MYCTH_107295	GO:0000981	MF	 DNA-templated
MYCTH_107295	GO:0008270	MF	DNA-binding transcription factor activity
MYCTH_107295	GO:0006355	BP	 RNA polymerase II-specific
MYCTH_107295	GO:0005634	CC	zinc ion binding
MYCTH_107295	GO:0003677	MF	regulation of transcription
MYCTH_107295	GO:0045122	BP	 DNA-templated
MYCTH_107458	GO:0006364	BP	rRNA processing
MYCTH_107458	GO:0030515	MF	snoRNA binding
MYCTH_107580	GO:0005524	MF	ATP binding
MYCTH_107580	GO:0016887	MF	ATPase activity
MYCTH_107580	GO:0055085	BP	transmembrane transport
MYCTH_107580	GO:0005524	MF	ATP binding
MYCTH_107580	GO:0042626	MF	ATPase-coupled transmembrane transporter activity
MYCTH_107580	GO:0016021	CC	integral component of membrane
MYCTH_107580	GO:0005524	MF	ATP binding
MYCTH_107580	GO:0016021	CC	integral component of membrane
MYCTH_107689	GO:0005515	MF	protein binding
MYCTH_107723	GO:0006348	BP	chromatin silencing at telomere
MYCTH_107723	GO:0005634	CC	nucleus
MYCTH_107723	GO:0016573	BP	histone acetylation
MYCTH_107723	GO:0004402	MF	histone acetyltransferase activity
MYCTH_107723	GO:0006325	BP	chromatin organization
MYCTH_107866	GO:0016998	BP	cell wall macromolecule catabolic process
MYCTH_107866	GO:0003796	MF	lysozyme activity
MYCTH_107866	GO:0009253	BP	peptidoglycan catabolic process
MYCTH_107891	GO:0003824	MF	catalytic activity
MYCTH_107891	GO:0009058	BP	biosynthetic process
MYCTH_107891	GO:0005515	MF	protein binding
MYCTH_107891	GO:0016567	BP	protein ubiquitination
MYCTH_107891	GO:0004842	MF	ubiquitin-protein transferase activity
MYCTH_107891	GO:0006281	BP	DNA repair
MYCTH_107891	GO:0061630	MF	ubiquitin protein ligase activity
MYCTH_107891	GO:0000974	CC	Prp19 complex
MYCTH_107891	GO:0000398	BP	mRNA splicing
MYCTH_107976	GO:0008168	MF	methyltransferase activity
MYCTH_108044	GO:0055085	BP	transmembrane transport
MYCTH_108044	GO:0022857	MF	transmembrane transporter activity
MYCTH_108044	GO:0016021	CC	integral component of membrane
MYCTH_108044	GO:0055085	BP	transmembrane transport
MYCTH_108044	GO:0016021	CC	integral component of membrane
MYCTH_108044	GO:0022857	MF	transmembrane transporter activity
MYCTH_108044	GO:0055085	BP	transmembrane transport
MYCTH_108044	GO:0016020	CC	membrane
MYCTH_108044	GO:0022857	MF	transmembrane transporter activity
MYCTH_108044	GO:0022857	MF	transmembrane transporter activity
MYCTH_108115	GO:0003824	MF	catalytic activity
MYCTH_108115	GO:0016747	MF	transferase activity
MYCTH_108157	GO:0003700	MF	DNA-binding transcription factor activity
MYCTH_108157	GO:0006355	BP	regulation of transcription
MYCTH_108157	GO:0003677	MF	 DNA-templated
MYCTH_108157	GO:0003700	MF	DNA binding
MYCTH_108294	GO:0016705	MF	oxidoreductase activity
MYCTH_108294	GO:0020037	MF	 acting on paired donors
MYCTH_108294	GO:0005506	MF	 with incorporation or reduction of molecular oxygen
MYCTH_108294	GO:0055114	BP	heme binding
MYCTH_108294	GO:0016705	MF	iron ion binding
MYCTH_108294	GO:0055114	BP	oxidation-reduction process
MYCTH_108294	GO:0016705	MF	oxidoreductase activity
MYCTH_108294	GO:0005506	MF	 acting on paired donors
MYCTH_108294	GO:0020037	MF	 with incorporation or reduction of molecular oxygen
MYCTH_108294	GO:0055114	BP	oxidation-reduction process
MYCTH_108304	GO:0070577	MF	lysine-acetylated histone binding
MYCTH_108304	GO:0016504	MF	peptidase activator activity
MYCTH_108304	GO:0070628	MF	proteasome binding
MYCTH_108317	GO:0031177	MF	phosphopantetheine binding
MYCTH_108317	GO:0016740	MF	transferase activity
MYCTH_108317	GO:0003824	MF	catalytic activity
MYCTH_108407	GO:0071949	MF	FAD binding
MYCTH_108416	GO:0003824	MF	catalytic activity
MYCTH_108416	GO:0005975	BP	carbohydrate metabolic process
MYCTH_108475	GO:0016407	MF	acetyltransferase activity
MYCTH_108475	GO:0055085	BP	transmembrane transport
MYCTH_108475	GO:0022857	MF	transmembrane transporter activity
MYCTH_108475	GO:0022857	MF	transmembrane transporter activity
MYCTH_108501	GO:0005515	MF	protein binding
MYCTH_108501	GO:0030126	CC	COPI vesicle coat
MYCTH_108501	GO:0016192	BP	vesicle-mediated transport
MYCTH_108501	GO:0005198	MF	structural molecule activity
MYCTH_108501	GO:0005515	MF	protein binding
MYCTH_108501	GO:0006886	BP	intracellular protein transport
MYCTH_108501	GO:0016192	BP	vesicle-mediated transport
MYCTH_108501	GO:0005198	MF	structural molecule activity
MYCTH_108501	GO:0030117	CC	membrane coat
MYCTH_108501	GO:0006886	BP	intracellular protein transport
MYCTH_108504	GO:0005515	MF	protein binding
MYCTH_108504	GO:0006338	BP	chromatin remodeling
MYCTH_108504	GO:0016586	CC	RSC-type complex
MYCTH_108504	GO:0003682	MF	chromatin binding
MYCTH_108565	GO:0016020	CC	membrane
MYCTH_108565	GO:0016192	BP	vesicle-mediated transport
MYCTH_108565	GO:0016020	CC	membrane
MYCTH_108615	GO:0016705	MF	oxidoreductase activity
MYCTH_108615	GO:0020037	MF	 acting on paired donors
MYCTH_108615	GO:0005506	MF	 with incorporation or reduction of molecular oxygen
MYCTH_108615	GO:0055114	BP	heme binding
MYCTH_108615	GO:0016705	MF	iron ion binding
MYCTH_108615	GO:0005506	MF	oxidation-reduction process
MYCTH_108615	GO:0020037	MF	oxidoreductase activity
MYCTH_108615	GO:0055114	BP	 acting on paired donors
MYCTH_108615	GO:0016705	MF	 with incorporation or reduction of molecular oxygen
MYCTH_108615	GO:0055114	BP	iron ion binding
MYCTH_108890	GO:0055085	BP	transmembrane transport
MYCTH_108890	GO:0016021	CC	integral component of membrane
MYCTH_108890	GO:0022857	MF	transmembrane transporter activity
MYCTH_108890	GO:0055085	BP	transmembrane transport
MYCTH_108890	GO:0016020	CC	membrane
MYCTH_108890	GO:0022857	MF	transmembrane transporter activity
MYCTH_108890	GO:0055085	BP	transmembrane transport
MYCTH_108890	GO:0022857	MF	transmembrane transporter activity
MYCTH_108890	GO:0016021	CC	integral component of membrane
MYCTH_108890	GO:0022857	MF	transmembrane transporter activity
MYCTH_108924	GO:0055085	BP	transmembrane transport
MYCTH_108924	GO:0016020	CC	membrane
MYCTH_108924	GO:0022857	MF	transmembrane transporter activity
MYCTH_108924	GO:0055085	BP	transmembrane transport
MYCTH_108924	GO:0022857	MF	transmembrane transporter activity
MYCTH_108924	GO:0016021	CC	integral component of membrane
MYCTH_108924	GO:0055085	BP	transmembrane transport
MYCTH_108924	GO:0016021	CC	integral component of membrane
MYCTH_108924	GO:0022857	MF	transmembrane transporter activity
MYCTH_108924	GO:0022857	MF	transmembrane transporter activity
MYCTH_109078	GO:0004527	MF	exonuclease activity
MYCTH_109078	GO:0003676	MF	nucleic acid binding
MYCTH_109078	GO:0008270	MF	zinc ion binding
MYCTH_109078	GO:0003676	MF	nucleic acid binding
MYCTH_109194	GO:0055085	BP	transmembrane transport
MYCTH_109194	GO:0016020	CC	membrane
MYCTH_109194	GO:0022857	MF	transmembrane transporter activity
MYCTH_109194	GO:0055085	BP	transmembrane transport
MYCTH_109194	GO:0016021	CC	integral component of membrane
MYCTH_109194	GO:0022857	MF	transmembrane transporter activity
MYCTH_109194	GO:0055085	BP	transmembrane transport
MYCTH_109194	GO:0022857	MF	transmembrane transporter activity
MYCTH_109194	GO:0016021	CC	integral component of membrane
MYCTH_109194	GO:0022857	MF	transmembrane transporter activity
MYCTH_109373	GO:0042025	CC	host cell nucleus
MYCTH_109373	GO:0003684	MF	damaged DNA binding
MYCTH_109373	GO:0006289	BP	nucleotide-excision repair
MYCTH_109377	GO:0005515	MF	protein binding
MYCTH_109444	GO:0000272	BP	polysaccharide catabolic process
MYCTH_109444	GO:0008810	MF	cellulase activity
MYCTH_109444	GO:0004553	MF	hydrolase activity
MYCTH_109499	GO:0055085	BP	transmembrane transport
MYCTH_109499	GO:0022857	MF	transmembrane transporter activity
MYCTH_109499	GO:0022857	MF	transmembrane transporter activity
MYCTH_109530	GO:0070122	MF	isopeptidase activity
MYCTH_109530	GO:0008237	MF	metallopeptidase activity
MYCTH_109530	GO:0005515	MF	protein binding
MYCTH_109530	GO:0005737	CC	cytoplasm
MYCTH_109530	GO:0005852	CC	eukaryotic translation initiation factor 3 complex
MYCTH_109530	GO:0003743	MF	translation initiation factor activity
MYCTH_109533	GO:0016616	MF	oxidoreductase activity
MYCTH_109533	GO:0051287	MF	 acting on the CH-OH group of donors
