Gene	Description	Symbol	EC
MYCTH_105006	BRO1-like domain(BRO1)	BRO1	
MYCTH_105063	Glycosyl transferase family, helical bundle domain(TRP4)	TRP4	2.4.2.18
MYCTH_105072	Cyclin(CLG1)	CLG1	
MYCTH_105128	GDSL-like Lipase/Acylhydrolase family		
MYCTH_105130			
MYCTH_105157	Src homology 3 domains		
MYCTH_105197	AN1-like Zinc finger	YNL155W	
MYCTH_105286	transcription, DNA-templated(RBF1)		
MYCTH_105318			
MYCTH_105405	Binds to the 23S rRNA(RPL37B)	RPL37B	
MYCTH_105482	polyketide synthase	CEM1	
MYCTH_105575	Ammonium transporter(MEP1)	MEP3	
MYCTH_105600	RTC4-like domain		
MYCTH_105650	Belongs to the ubiquitin-conjugating enzyme family	UBC11	2.3.2.23
MYCTH_105669	bromo domain		
MYCTH_105777	zinc finger		
MYCTH_105786	Chromatin modification-related protein	YNG2	
MYCTH_105822	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	NSR1	
MYCTH_105847	Belongs to the thiolase family(ERG10)	ERG10	2.3.1.9
MYCTH_105869	Essential protein Yae1, N terminal(YAE1)	YAE1	
MYCTH_105966			
MYCTH_10609	Belongs to the MYST (SAS MOZ) family(SAS2)	SAS2	2.3.1.48
MYCTH_106293	SLA1 homology domain 1, SHD1	SLA1	
MYCTH_106343	aldehyde reductase		
MYCTH_106346	Male sterility protein		
MYCTH_106388	Belongs to the sirtuin family. Class I subfamily(HST2)	HST2	
MYCTH_106442			
MYCTH_106463	Ribosomal protein L24e		
MYCTH_106502			
MYCTH_106527	PAS fold	SLN1	2.7.13.3
MYCTH_106599			
MYCTH_106609	MYND finger		
MYCTH_106618	RNA helicase (UPF2 interacting domain)(NAM7)	NAM7	
MYCTH_106768	Nitroreductase family(FRM2)	HBN1	
MYCTH_106798	Phospholipase/Carboxylesterase		
MYCTH_106819	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	GAS1	
MYCTH_106827	Acetyltransferase (GNAT) domain		
MYCTH_106950	Protein of unknown function (DUF1777)		
MYCTH_107095			
MYCTH_10713	Glycosyl transferase family 21		2.4.1.212
MYCTH_107134	SET domain		
MYCTH_107142	Ran-binding domain	YRB1	
MYCTH_107168			
MYCTH_107178	Glycosyl hydrolases family 16		
MYCTH_107186			
MYCTH_107255	WD domain, G-beta repeat	RAD28	
MYCTH_107295	Aflatoxin regulatory protein		
MYCTH_107458	U3 snoRNA associated		
MYCTH_107520	Domain of unknown function (DUF4211)		
MYCTH_107580	ABC transporter transmembrane region(hmt1)	ATM1	
MYCTH_107689	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain		
MYCTH_107723	Catalytic component of the histone acetylase B (HAT-B) complex. Has intrinsic substrate specificity that modifies lysine in recognition sequence GXGKXG. Involved in DNA double-strand break repair(HAT1)	HAT1	2.3.1.48
MYCTH_107763			
MYCTH_107796	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits	DDR48	3.4.24.80
MYCTH_107866	Glycosyl hydrolases family 25		
MYCTH_107891	Prp19/Pso4-like	PRP19	2.3.2.27
MYCTH_107972	Eukaryotic domain of unknown function (DUF1716)		
MYCTH_107976	Methyltransferase domain	CRG1	2.1.1.145
MYCTH_108044	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HGT1)	SNF3	
MYCTH_108061			
MYCTH_108098			
MYCTH_108115	Belongs to the thiolase family(POT1)	POT1	2.3.1.16
MYCTH_108157	NDT80 / PhoG like DNA-binding  family		
MYCTH_108294	Belongs to the cytochrome P450 family	DIT2	
MYCTH_108304	Domain of unknown function (DUF3437)(BLM3)	BLM10	
MYCTH_108314			
MYCTH_108317	polyketide synthase	CEM1	
MYCTH_108391		GAS5	
MYCTH_108407	FAD binding domain		
MYCTH_108416	Starch synthase catalytic domain		2.4.1.183
MYCTH_108475	Maltose acetyltransferase	BSC6	
MYCTH_108493	Necrosis inducing protein (NPP1)		
MYCTH_108501	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network	COP1	
MYCTH_108504	Bromo adjacent homology domain	RSC1	
MYCTH_108565	Syntaxin	SSO2	
MYCTH_108615	Belongs to the cytochrome P450 family		
MYCTH_108627			
MYCTH_108765			
MYCTH_108781	Lea domain protein		
MYCTH_108836	Pyridine nucleotide-disulphide oxidoreductase		
MYCTH_108890	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	GAL2	
MYCTH_108924	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HXT5)	GAL2	
MYCTH_109046	Myb dna-binding domain-containing protein		
MYCTH_109078	XRN 5'-3' exonuclease N-terminus(RAT1)	RAT1	
MYCTH_109194	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HGT3)	STL1	
MYCTH_109232	Chromatin organization modifier domain		
MYCTH_109373	XPA protein C-terminus(RAD14)	RAD14	
MYCTH_109377			
MYCTH_109444	Belongs to the glycosyl hydrolase 12 (cellulase H) family		3.2.1.151
MYCTH_109499	Fungal trichothecene efflux pump (TRI12)	ARN2	
MYCTH_109510	Belongs to the small heat shock protein (HSP20) family		
MYCTH_109530	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation		
MYCTH_109533	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family(GOR1)	GOR1	1.1.1.26
MYCTH_109542	Alternative oxidase(AOX2)		
MYCTH_109566	Belongs to the glycosyl hydrolase 7 (cellulase C) family(cbhA)		3.2.1.91
MYCTH_109620	Stearyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates	OLE1	1.14.19.1
MYCTH_109638	Belongs to the sterol desaturase family(ERG25)	ERG25	1.14.18.9
MYCTH_109756	Kelch domain-containing protein		
MYCTH_109790			
MYCTH_109795			
MYCTH_109817	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation(ADA2)	ADA2	
MYCTH_109821	Chitosanase catalyzing the endo-type cleavage of chitosan, the deacylated form of chitin. Chitosanase may be crucial in the degradation of the deacetylated portion of chitin in the fungal cell wall		
MYCTH_109870	FAD linked oxidase-like protein		
MYCTH_109876	DSS1_SEM1(SEM1)	SEM1	
MYCTH_109897			
MYCTH_109914			
MYCTH_10995	Sir2 family(SIR2)	HST1	
MYCTH_109978	LeuA allosteric (dimerisation) domain(LEU4)	LEU4	2.3.3.13
MYCTH_110022	Aldo/keto reductase family	YPR1	1.1.1.156,1.1.1.365
MYCTH_110028	helix loop helix domain	TYE7	
MYCTH_110038			
MYCTH_110042	Belongs to the BI1 family	BXI1	
MYCTH_110061	Glycosyl hydrolases family 16		
MYCTH_110187	Belongs to the cytochrome P450 family(ERG11)	ERG11	1.14.13.70
MYCTH_110298	RNA recognition motif-containing protein		
MYCTH_110317	Belongs to the LDH MDH superfamily	MDH2	1.1.1.27
MYCTH_110470			
MYCTH_110475			
MYCTH_110510			
MYCTH_110532	small heat shock protein		
MYCTH_110536	DNA-directed RNA-polymerase II subunit	RPB4	
MYCTH_110640	Protoglobin		
MYCTH_110651	Glycosyl hydrolase family 61		
MYCTH_110670	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol(ERG6)	ERG6	2.1.1.41
MYCTH_110674	Glycine zipper 2TM domain		
MYCTH_110717	Nascent polypeptide-associated complex subunit beta(EGD1)	EGD1	
MYCTH_110792	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly	MOH1	
MYCTH_110806	Ricin B lectin		
MYCTH_110817	Belongs to the eukaryotic ribosomal protein P1 P2 family	RPP1B	
MYCTH_110821	GPI-anchored cell wall organization protein(ecm33)	SPS2	
MYCTH_110871	Belongs to the isocitrate lyase PEP mutase superfamily. Isocitrate lyase family(ICL1)	ICL1	4.1.3.1
MYCTH_110897	C-terminal to LisH motif.	GID7	
MYCTH_110931	Catalyzes the NAD( )-dependent oxidation of formate to carbon dioxide. Formate oxidation is the final step in the methanol oxidation pathway in methylotrophic microorganisms. Has a role in the detoxification of exogenous formate in non- methylotrophic organisms(FDH1)	FDH1	1.17.1.9
MYCTH_110951			
MYCTH_110956	FAD binding domain	MET10	
MYCTH_111030	Reversible hydration of carbon dioxide		4.2.1.1
MYCTH_111035	Zn_pept(MCPA)	ECM14	
MYCTH_111036	Arylsulfotransferase (ASST)		
MYCTH_111073	Ferritin-like domain		
MYCTH_111088	Fungal-type cellulose-binding domain		1.14.99.54
MYCTH_111107	Belongs to the nucleosome assembly protein (NAP) family(NAP1)	NAP1	
MYCTH_111172			
MYCTH_111173			
MYCTH_111214	Ergosterol biosynthesis ERG4/ERG24 family(ERG4)	ERG4	1.3.1.71
MYCTH_111314	Myo-inositol oxygenase		1.13.99.1
MYCTH_111331	Belongs to the thiolase family	POT1	2.3.1.16
MYCTH_111372	Belongs to the glycosyl hydrolase 7 (cellulase C) family		3.2.1.4
MYCTH_111377			
MYCTH_111388	Belongs to the GMC oxidoreductase family		1.1.99.18
MYCTH_111405	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling(HHF1)	HHF2	
MYCTH_111425	60S ribosomal protein(RPL2)	RPL2B	
MYCTH_111604	Haloacid dehalogenase-like hydrolase(PHO13)	PHO13	3.1.3.41
MYCTH_111645			
MYCTH_111741	Fungal specific transcription factor domain	STB5	
MYCTH_111770	This small integral protein plays a role in holoenzyme assembly or stability(COX9)	COX9	
MYCTH_111814	Cytidylyltransferase-like(PCT1)	PCT1	2.7.7.15
MYCTH_111845			
MYCTH_111934	This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase(ERG13)	ERG13	2.3.3.10
MYCTH_111987	Belongs to the ubiquitin-conjugating enzyme family(MMS2)	MMS2	
MYCTH_112014	Alcohol dehydrogenase GroES-like domain	ADH6	1.1.1.2
MYCTH_112025	Belongs to the GST superfamily	YGR201C	
MYCTH_112050	Beta-xylanase		3.2.1.8
MYCTH_112051	Cytochrome P450		
MYCTH_112080			
MYCTH_112086			
MYCTH_112089	Glycosyl hydrolase family 61		
MYCTH_112121	Belongs to the TPP enzyme family	PDC1	4.1.1.1
MYCTH_112136	Histone H2B(HTB1)	HTB1	
MYCTH_112137	C-terminus of histone H2A(HTA1)	HTA2	
MYCTH_112159	Squalene/phytoene synthase(ERG9)	ERG9	2.5.1.21
MYCTH_112204	Belongs to the ATPase C chain family	OLI1	
MYCTH_112227	XFP C-terminal domain		4.1.2.22,4.1.2.9
MYCTH_112306	Cobalamin-independent synthase, Catalytic domain		2.1.1.14
MYCTH_112322	Belongs to the globin family	YHB1	1.14.12.17,2.7.11.22
MYCTH_112329	Belongs to the sterol desaturase family(ERG3)	ERG3	1.14.19.20
MYCTH_112362	integral membrane protein		
MYCTH_112363	Caspase domain(MCA1)	MCA1	
MYCTH_112399	Carbohydrate-binding module family 1 protein		
MYCTH_112411	Belongs to the cytochrome b5 family		
MYCTH_112442	Proteasome subunit(PRE8)	PRE8	3.4.25.1
MYCTH_112471	Oxidoreductase family, NAD-binding Rossmann fold		
MYCTH_112491	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HXT5)	HXT2	
MYCTH_112498			
MYCTH_112612	Coproporphyrinogen III oxidase(HEM13)	HEM13	1.3.3.3
MYCTH_112686	heat shock(SSA2)	SSA3	
MYCTH_112699	acyl transferase	AYT1	
MYCTH_112700	Histone H2A(HTZ1)	HTZ1	
MYCTH_112714	Pyridine nucleotide-disulphide oxidoreductase	TRR1	
MYCTH_112716	Nse1 non-SMC component of SMC5-6 complex		
MYCTH_112802	Enoyl-CoA hydratase/isomerase		
MYCTH_112805	Condensation domain	LYS2	
MYCTH_112815	Cytochrome P450	DIT2	
MYCTH_112824	NAD(P)H-binding		
MYCTH_112826	Protein of unknown function (DUF1308)		
MYCTH_112850	NMDA receptor-regulated protein 1	NAT1	
MYCTH_112889	Appr-1'-p processing enzyme		
MYCTH_112905	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family(cta3)	ENA5	3.6.3.7
MYCTH_112916	Myosin. Large ATPases.	CHS3	2.4.1.16
MYCTH_112924	Transglutaminase-like superfamily		
MYCTH_112996	Pyridoxal-dependent decarboxylase conserved domain		4.1.1.105,4.1.1.28
MYCTH_113066	Folliculin-interacting protein N-terminus		
MYCTH_113138	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation		
MYCTH_113236	Aldo/keto reductase family	GCY1	1.1.1.156
MYCTH_113239	Conserved hypothetical ATP binding protein	NPA3	
MYCTH_113387			
MYCTH_113450	Glycoside hydrolase family 18 protein(CHT2)	CTS1	3.2.1.14
MYCTH_113457	zinc finger binding to DNA consensus sequence [AT]GATA[AG](GAT1)	GAT1	
MYCTH_113577	Belongs to the aldehyde dehydrogenase family	ALD5	
MYCTH_113600	Ergosterol biosynthesis ERG4/ERG24 family		
MYCTH_113715	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family(COG4)	COG4	
MYCTH_113886	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks(arc1)	ARC40	
MYCTH_113912	Velvet factor(velB)		
MYCTH_113985			
MYCTH_114008	Orthologue of hydroxymethylglutaryl CoA reductase from Schizosaccharomyces pombe(HMG1)	HMG2	1.1.1.34
MYCTH_114083			
MYCTH_114107	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	STL1	
MYCTH_114166	AP endonuclease family 2(APN1)	APN1	4.2.99.18
MYCTH_114237	Triose-phosphate Transporter family	YMD8	
MYCTH_114376	Belongs to the peptidase M49 family(YOL057W)	YOL057W	3.4.14.4
MYCTH_114482	Conserved region in glutamate synthase	CYB2	1.1.2.3
MYCTH_114497	Glycosyl hydrolases family 2, sugar binding domain		
MYCTH_114666	Zinc-binding dehydrogenase	YNL134C	
MYCTH_114667			
MYCTH_114678	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HGT20)	YBR241C	
MYCTH_114691	FAD binding domain		
MYCTH_114710	Uncharacterised conserved protein (DUF2373)		
MYCTH_114734	Belongs to the mitochondrial carrier (TC 2.A.29) family	YIA6	
MYCTH_114738	FR47-like protein(ARD1)	ARD1	2.3.1.255
MYCTH_114796	SHNi-TPR		
MYCTH_114955			
MYCTH_115028	integral membrane protein		
MYCTH_115052	Nucleolar RNA-binding protein, Nop10p family(NOP10)	NOP10	
MYCTH_115096	Belongs to the FPP GGPP synthase family	ERG20	2.5.1.1,2.5.1.10
MYCTH_115110			
MYCTH_115198	WD domain, G-beta repeat	TAF5	
MYCTH_115501	polyketide synthase	CEM1	
MYCTH_115624	Telomere-length maintenance and DNA damage repair(TEL1)	TEL1	2.7.11.1
MYCTH_115754			
MYCTH_115802	zinc finger	STE12	
MYCTH_115858	Transmembrane amino acid transporter protein	AVT1	
MYCTH_115886			
MYCTH_115909	Snf2-ATP coupling, chromatin remodelling complex(SNF2)	SNF2	
MYCTH_115935	Glycosyltransferase family 90		
MYCTH_115944	Belongs to the DEAD box helicase family(DBP8)	DBP8	3.6.4.13
MYCTH_115957	2OG-Fe(II) oxygenase superfamily		
MYCTH_115968	Belongs to the glycosyl hydrolase 1 family		3.2.1.21
MYCTH_115983			
MYCTH_116006	WD domain, G-beta repeat	SWD2	
MYCTH_116020	ribosomal protein	RPL34B	
MYCTH_116157	Belongs to the glycosyl hydrolase 7 (cellulase C) family		3.2.1.4
MYCTH_116175	Glycosyl hydrolase family 61		
MYCTH_116237	Aldo/keto reductase family	YPL088W	
MYCTH_116261	PLAC8 family		
MYCTH_116322	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein PAB1. PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome- mediated 3'-5' exonucleolytic degradation, or deadenlyation- dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1. May also be involved in post-transcriptional maturation of mRNA poly(A) tails(PAN2)	PAN2	3.1.13.4
MYCTH_116348	Protein kinase domain(ppk32)	SCY1	
MYCTH_116363	PhoD-like phosphatase, N-terminal domain		3.1.3.1
MYCTH_116384	Fungal-type cellulose-binding domain		3.2.1.155
MYCTH_116510	DNA binding domain with preference for A/T rich regions		
MYCTH_116553	Beta-xylanase		3.2.1.8
MYCTH_11658	Transferase family		
MYCTH_116603	Protein of unknown function (DUF3429)		
MYCTH_116629	Hexapeptide repeat of succinyl-transferase		
MYCTH_116679			
MYCTH_116881	Major Facilitator Superfamily	TNA1	
MYCTH_116885	DUF1767		
MYCTH_116956	mRNA capping enzyme, beta chain(CET1)	CET1	
MYCTH_117063	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain		
MYCTH_117073	Saccharomyces cerevisiae YGR111w		
MYCTH_117145	DUF1741		
MYCTH_117146	Taurine catabolism dioxygenase TauD, TfdA family		
MYCTH_117150	NAD dependent epimerase/dehydratase family		
MYCTH_117206	MRG(EAF3)	EAF3	
MYCTH_117209	WLM domain		
MYCTH_117245			
MYCTH_117406	NUDIX domain	DDP1	3.6.1.52
MYCTH_117428	Uncharacterized conserved protein (DUF2293)		
MYCTH_117436	Chromosome segregation protein Spc25(SPC25)		
MYCTH_117478	Fungal specific transcription factor domain	YJL206C	
MYCTH_117495	Meiosis protein SPO22/ZIP4 like(RDS2)	RDS2	
MYCTH_117620			
MYCTH_117625	Domain in SPla and the RYanodine Receptor.(ASH2)	BRE2	
MYCTH_117681	metallochaperone-like domain	RLP24	
MYCTH_11798	Belongs to the mitochondrial carrier (TC 2.A.29) family		
MYCTH_12171	to Saccharomyces cerevisiae IVY1 (YDR229W)	IVY1	
MYCTH_122893	Homeobox KN domain	MATALPHA2	
MYCTH_122939	Polysaccharide biosynthesis protein(ERG26)	ERG26	1.1.1.170
MYCTH_12812	SIS domain		
MYCTH_13170			
MYCTH_140260	1,3-beta-glucan synthase subunit FKS1(FKS1)	GSC2	2.4.1.34
MYCTH_140261	Glycosyl hydrolase family 71		3.2.1.59
MYCTH_14609	Uncharacterised conserved protein(USB1)	YLR132C	
MYCTH_15682			
MYCTH_15789			
MYCTH_16152	MYND finger		
MYCTH_16224	Zinc finger C-x8-C-x5-C-x3-H type (and similar)(YTH1)	YTH1	
MYCTH_16301	GPI anchored protein		
MYCTH_16353	Belongs to the cytochrome P450 family		
MYCTH_17263			
MYCTH_17562	DASH complex subunit Dad2(DAD2)		
MYCTH_17585			
MYCTH_17759			
MYCTH_18938	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.	MDR1	
MYCTH_19035	Bromodomain		
MYCTH_2018629	Macrophage migration inhibitory factor (MIF)		
MYCTH_2018746	Male sterility protein		
MYCTH_2019108	Uracil DNA glycosylase superfamily(thp1)		3.2.2.29
MYCTH_2019141			
MYCTH_2019371			
MYCTH_2019378	Methyltransferase		
MYCTH_2019397	GDSL-like Lipase/Acylhydrolase family		
MYCTH_2019739	LURP-one-related		
MYCTH_2019888	GTPase-activator protein for Rho-like GTPases		
MYCTH_2020046	Domain of unknown function (DUF4419)		
MYCTH_2020422	Proton-conducting membrane transporter(nad4)		1.6.5.3
MYCTH_2020707			
MYCTH_2020741	BTB/POZ domain		
MYCTH_2022110	FAD binding		
MYCTH_2022424	brca1 c terminus		
MYCTH_2022670	Major Facilitator Superfamily	MCH4	
MYCTH_2023079			
MYCTH_2023245	Tetratricopeptide repeat		
MYCTH_2023927			
MYCTH_2023929			
MYCTH_2024024	Cupin-like domain		
MYCTH_2024695	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.		
MYCTH_2025277	Polysaccharide biosynthesis(YPL225W)	YPL225W	
MYCTH_2025626	Putative amidoligase enzyme		
MYCTH_2025813			
MYCTH_2025957			
MYCTH_2026083			
MYCTH_2026137	Regulatory protein(wetA)		
MYCTH_2026172	ribonuclease		
MYCTH_2027194	NUDIX domain		
MYCTH_2028011	zinc finger		
MYCTH_2028710			
MYCTH_2028839			
MYCTH_2029285	Domain of unknown function (DUF4188)		
MYCTH_2029356	Common central domain of tyrosinase		1.14.18.1
MYCTH_2029593			
MYCTH_2029812			
