Gene	Description	Symbol	EC
ANI_1_102034	flavin oxidoreductase(OYE32)		1.3.1.42
ANI_1_102044	Belongs to the TBCA family		
ANI_1_102074	CUE domain protein(CUE5)		
ANI_1_102104	Sexual development protein EsdC		
ANI_1_102114	Tropomyosin(TPM2)		
ANI_1_102124	Thymidylate synthase(TMP1)		2.1.1.45
ANI_1_102134	UPF0220 domain protein(VPS68)		
ANI_1_102154	Transcription factor		
ANI_1_102174	Pectinolytic enzyme consist of four classes of enzymes pectin lyase, polygalacturonase, pectin methylesterase and rhamnogalacturonase. Among pectinolytic enzymes, pectin lyase is the most important in depolymerization of pectin, since it cleaves internal glycosidic bonds of highly methylated pectins. Favors pectate, the anion, over pectin, the methyl ester(plyA)		4.2.2.2
ANI_1_1022014	toxin biosynthesis protein		
ANI_1_1022024	Centromere protein H (CENP-H)		
ANI_1_1022034	Nucleoside-diphosphate-sugar epimerase		
ANI_1_1022064	reductase(HMG1)		1.1.1.34
ANI_1_1022084	General amidase GmdA		3.5.1.4
ANI_1_1022124	Protein tyrosine phosphatase (Pyp1)(Ptp2)		3.1.3.48
ANI_1_1022164	dihydrofolate reductase(FSH3)		1.5.1.3
ANI_1_1022184	Sphinganine-1-phosphate aldolase BST1(DPL1)		4.1.2.27
ANI_1_1024014	Ceramidase(YDC1)		
ANI_1_1024024	DNA-binding protein that induces severe bending of DNA. Required for DNA-binding by the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. Also augments the fidelity of transcription by RNA polymerase III independently of any role in the FACT complex (By similarity)(NHP6)		
ANI_1_1024034	Serine hydrolase (FSH1)		
ANI_1_1024064	cell polarity protein(SPA2)		
ANI_1_1024074	Belongs to the aldehyde dehydrogenase family(ALD5)		1.2.1.3,1.2.1.5
ANI_1_1024084	Belongs to the TPP enzyme family		4.1.1.1
ANI_1_1024094	Protein of unknown function (DUF2433)		
ANI_1_1024104	Redoxin(AHP1)		1.11.1.15
ANI_1_1024124	FGGY-family carbohydrate kinase		
ANI_1_1026034	RmlD substrate binding domain		
ANI_1_1026064	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides		5.2.1.8
ANI_1_1026074	Pyridoxamine phosphate oxidase family protein		
ANI_1_1026084	Zinc-finger of C2H2 type		
ANI_1_1026094	B-zip transcription factor(YAP1)		
ANI_1_1026104	Ribonuclease P complex subunit Pop1(POP1)		3.1.26.5
ANI_1_1026124	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family		
ANI_1_1026164	Belongs to the GMC oxidoreductase family		
ANI_1_1028014	axonemal central apparatus assembly		
ANI_1_1028034	Transcription factor		
ANI_1_1028064			
ANI_1_1028074	DUF1446 domain protein		
ANI_1_1028084	Chlorophyllase enzyme		
ANI_1_1028094	RNA splicing		
ANI_1_1028104	Protein of Unknown function (DUF1690)		
ANI_1_1028124	Ubiquitin fusion degradation protein (Ufd1)		
ANI_1_1028164	amino acid		
ANI_1_1030024	Homoserine dehydrogenase(HOM6)		1.1.1.3
ANI_1_1030084	Oxidoreductase, zinc-binding dehydrogenase family		
ANI_1_1030104	Belongs to the hexokinase family(GLK1)		2.7.1.1
ANI_1_1030124	A Receptor for Ubiquitination Targets		
ANI_1_1030134	Amino acid transporter		
ANI_1_1030164			
ANI_1_1032034	Cell division control protein Cdc25(CDC25)		
ANI_1_1032064	Exosome complex endonuclease 1 ribosomal RNA processing protein(SKI6)		
ANI_1_1032084	Methionine permease(MUP3)		
ANI_1_1032094	monooxygenase		
ANI_1_1032124	Oxidoreductase-like protein, N-terminal		
ANI_1_1032134			
ANI_1_1032164	Fungal trichothecene efflux pump (TRI12)		
ANI_1_1034014	O-methyltransferase		
ANI_1_1034024			
ANI_1_1034034	integral membrane protein		
ANI_1_1034074	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall(GAS4)		
ANI_1_1034084			
ANI_1_1034124			
ANI_1_1034164	FAD binding domain		1.14.13.1
ANI_1_1034184			3.1.1.29
ANI_1_1036014	prefoldin subunit 1		
ANI_1_1036024	DUF221 domain protein		
ANI_1_1036034	Beta-eliminating lyase		4.1.2.48
ANI_1_1036064	Belongs to the OSBP family(OSH6)		
ANI_1_1036074	Mitochondrial import receptor subunit (Tom20)(TOM20)		
ANI_1_1036084	DUF895 domain membrane protein		
ANI_1_1036104	cytochrome P450		
ANI_1_1036124	Grap2 and cyclin-D-interacting		
ANI_1_1036164	Fungal specific transcription factor domain		
ANI_1_1036184	Mitochondrial peptidyl-tRNA hydrolase Pth2		3.1.1.29
ANI_1_1038014	Belongs to the iron ascorbate-dependent oxidoreductase family		
ANI_1_1038024	fructose-bisphosphate aldolase(FBA1)		3.2.1.25,4.1.2.13
ANI_1_1038034	Enoyl-(Acyl carrier protein) reductase		
ANI_1_1038074	Exocyst complex component exo84(EXO84)		
ANI_1_1038084	DUF1212 domain membrane protein		
ANI_1_1038104	C2HC5 finger protein		
ANI_1_1038124	IBR domain, a half RING-finger domain		
ANI_1_1038144	C2H2 finger domain protein		
ANI_1_1038164	Lignostilbene dioxygenase		
ANI_1_1040034	FAD binding domain		
ANI_1_1040084			
ANI_1_1040094	O-methyltransferase		
ANI_1_1040124			
ANI_1_1040144	ATP adenylyltransferase(APA2)		2.7.7.53
ANI_1_104024	O-methyltransferase		
ANI_1_104034	NAD dependent epimerase dehydratase family protein		1.3.1.3
ANI_1_104044	Tho complex subunit 7		
ANI_1_104104	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates(RPB2)		2.7.7.6
ANI_1_104134	Hsp70 nucleotide exchange factor (Fes1)(FES1)		
ANI_1_104144	Complex I intermediate-associated protein 30 (CIA30)		
ANI_1_104184			
ANI_1_1042014			
ANI_1_1042034	adenosylhomocysteine nucleosidase activity		
ANI_1_1042064	transcription RNA-processing factor Ssu72(SSU72)		3.1.3.16
ANI_1_1042084	Dienelactone hydrolase family		
ANI_1_1042104	peptide alpha-N-acetyltransferase activity		2.3.1.258
ANI_1_1042124	THO complex subunit		
ANI_1_1042164	Major Facilitator Superfamily		
ANI_1_1042184	DNA binding protein SART-1		
ANI_1_1044014	Cell differentiation protein rcd1(rcd1)		
ANI_1_1044024	Belongs to the AlaDH PNT family(LYS1)		1.5.1.7,3.4.19.12
ANI_1_1044034			
ANI_1_1044064	Belongs to the histone deacetylase family. HD Type 1 subfamily(HOS2)		3.5.1.98
ANI_1_1044084	Protein of unknown function (DUF1769)		
ANI_1_1044094			
ANI_1_1044104	3' exoribonuclease family protein		
ANI_1_1044124	Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6		
ANI_1_1044134	Peptidase A4 family		
ANI_1_1044164	Cytoplasmic phospholipase A2, catalytic subunit		3.1.1.5
ANI_1_1044184	Aspartate aminotransferase(AAT1)		2.6.1.1
ANI_1_1046014	PHD-finger		2.7.7.6
ANI_1_1046024			
ANI_1_1046034	Major Facilitator Superfamily		
ANI_1_1046074	Bifunctional pyrimidine biosynthesis protein (PyrABCN)(URA2)		2.1.3.2,6.3.5.5
ANI_1_1046084			
ANI_1_1046104	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides(cyp1)		5.2.1.8
ANI_1_1046134	Saccharomyces cerevisiae YJR085C		
ANI_1_1046164			
ANI_1_1046184			
ANI_1_1048034	Major Facilitator Superfamily		
ANI_1_1048084	Fungal specific transcription factor domain		
ANI_1_1048094	Uncharacterized conserved protein (DUF2278)		
ANI_1_1048104	Rab geranylgeranyl transferase escort protein(MRS6)		
ANI_1_1048124	histone deacetylase(HOS3)		3.5.1.98
ANI_1_1048144	Small nuclear ribonucleoprotein		
ANI_1_1048164	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid(PAN5)		1.1.1.169,1.14.14.17
ANI_1_1048184	YagE family(sif3)		
ANI_1_1050014	PSF1 domain protein(PSF1)		
ANI_1_1050034	Fungal specific transcription factor domain		
ANI_1_1050074	Integral membrane channel protein		
ANI_1_1050084	Catalyzes the reduction of fatty acyl-CoA to fatty alcohols		
ANI_1_1050104	Protein of unknown function, DUF604		
ANI_1_1050124	Zinc finger protein		
ANI_1_1050144	Transcription initiation factor TFIID subunit(taf2)		
ANI_1_1050164	Major Facilitator Superfamily		
ANI_1_1050184	C2H2 finger domain protein		
ANI_1_1052034	Nitroreductase family		
ANI_1_1052064			
ANI_1_1052084	cytochrome P450(ALK2)		1.14.14.1
ANI_1_1052104	Transcription factor(MCM1)		
ANI_1_1052124	Catalytic subunit of the queuine tRNA-ribosyltransferase (TGT) that catalyzes the base-exchange of a guanine (G) residue with queuine (Q) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming queuine, allowing a nucleophilic attack on the C1' of the ribose to form the product		2.4.2.29
ANI_1_1052144	Belongs to the CDP-alcohol phosphatidyltransferase class-I family		2.7.8.1
ANI_1_1052164	Polymerase		2.4.2.30
ANI_1_1054014	Conserved lysine-rich protein		
ANI_1_1054024	Belongs to the OSBP family(kes1)		
ANI_1_1054034	NADH:flavin oxidoreductase / NADH oxidase family		1.6.99.1
ANI_1_1054094	CHAT domain		
ANI_1_1054124	Major Facilitator Superfamily		
ANI_1_1054164	Belongs to the tannase family		
ANI_1_1056014	Asparagine synthase related protein		
ANI_1_1056034	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain		1.17.1.4,1.17.3.2
ANI_1_1056064			
ANI_1_1056074	Belongs to the synaptobrevin family		
ANI_1_1056084	Enoylreductase(pks3)		
ANI_1_1056104	ATP synthase subunit E(VMA4)		
ANI_1_1056124	Belongs to the peptidase M28 family(lap1)		3.4.11.10
ANI_1_1056164	Protein kinase domain		
ANI_1_1056184	Ubiquitin-2 like Rad60 SUMO-like(UBI4)		
ANI_1_1058014	Guanine nucleotide exchange factor Vps9(vps901)		
ANI_1_1058034	oxidation-reduction process		
ANI_1_1058064	Belongs to the cyclin family		
ANI_1_1058074	zinc finger		
ANI_1_1058084	Organic solute transporter Ostalpha		
ANI_1_1058124	Fungal protein of unknown function (DUF1774)		
ANI_1_1058144	PhoX homologous domain, present in p47phox and p40phox.		
ANI_1_1058164	Integral membrane protein		
ANI_1_1060034	ATPase family associated with various cellular activities (AAA)		
ANI_1_1060064	Small nucleolar ribonucleoprotein complex subunit(UTP4)		
ANI_1_1060084	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
ANI_1_1060104	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily(DNF1)		3.6.1.3,3.6.3.1,3.6.3.8
ANI_1_1060124	Amidase		3.5.1.4
ANI_1_1060144			
ANI_1_1060164			
ANI_1_1060184	Phosphotransmitter protein Ypd1(YPD1)		
ANI_1_106034	Endo-1,4-beta-xylanase involved in the hydrolysis of xylan, a major structural heterogeneous polysaccharide found in plant biomass representing the second most abundant polysaccharide in the biosphere, after cellulose(xlnC)		3.2.1.8
ANI_1_106054	CFEM domain		
ANI_1_106084	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid		1.1.1.169
ANI_1_106104	DUF1716 domain protein		
ANI_1_106114	Vacuolar ATP synthase subunit S1 (ATP6S1)		
ANI_1_106134	Belongs to the actin family(ACT1)		
ANI_1_106154	Carbamoyl-phosphate synthase arginine-specific small chain(CPA1)		6.3.5.5
ANI_1_106174	Arylesterase		3.1.1.17
ANI_1_106184	Phosphatidylethanolamine-binding protein		
ANI_1_1062024	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1062034	amino acid		
ANI_1_1062064	Serine threonine-protein phosphatase(pzh1)		3.1.3.16
ANI_1_1062084	Berberine and berberine like		
ANI_1_1062104	tRNA-splicing endonuclease(SEN1)		
ANI_1_1062124	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide(cat1)		1.11.1.6
ANI_1_1062134			
ANI_1_1062164	Pfam:Git3_C		
ANI_1_1064014	Calcium transporter(CCC1)		
ANI_1_1064024			
ANI_1_1064034	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1064064	LSM domain		
ANI_1_1064074	3-oxoacyl-(Acyl-carrier-protein) reductase		
ANI_1_1064084	Belongs to the terpene cyclase mutase family		5.4.99.7
ANI_1_1064124	Mitochondrial ATPase (Afg1)(AFG1)		3.6.4.7
ANI_1_1064144			
ANI_1_1064164	Transcriptional regulator		
ANI_1_1066014	Domain of unknown function (DUF4202)		
ANI_1_1066024	RNA exonuclease Rex2(rex2)		
ANI_1_1066034			
ANI_1_1066074	DENN (AEX-3) domain protein		
ANI_1_1066084	Cytochrome P450		
ANI_1_1066124	Protein kinase activator Bem1(BEM1)		
ANI_1_1066164			1.14.13.1
ANI_1_1066184			
ANI_1_1068014	Rox3 mediator complex subunit		
ANI_1_1068024	Belongs to the phosphohexose mutase family(PGM2)		5.4.2.2
ANI_1_1068034			
ANI_1_1068064	DUF52 domain protein		
ANI_1_1068074	Protein kinase (VPS15)(VPS15)		2.7.11.1
ANI_1_1068084	Lignostilbene dioxygenase		
ANI_1_1068094	Caffeine resistance protein(MDR1)		
ANI_1_1068104	Pyridoxamine 5'-phosphate oxidase		
ANI_1_1068124	Vacuolar protein sorting protein (Vps36)(VPS36)		3.5.1.4
ANI_1_1068164	Belongs to the histidine acid phosphatase family		3.1.3.2
ANI_1_1070014	Transcription factor		
ANI_1_1070034	Voltage-dependent anion channel		
ANI_1_1070084	FAD binding domain		
ANI_1_1070104	G1 S-specific cyclin(PCL5)		
ANI_1_1070124	Conserved serine-threonine rich protein		
ANI_1_1070144	Protein of unknown function (DUF3431)		
ANI_1_1070164	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family		
ANI_1_1070184	C6 finger domain protein		
ANI_1_1072014	Fungal specific transcription factor domain		
ANI_1_1072024			
ANI_1_1072034	Pyridoxal-dependent decarboxylase conserved domain		
ANI_1_1072064			
ANI_1_1072074			
ANI_1_1072104	epoxide hydrolase		3.3.2.9
ANI_1_1072124			
ANI_1_1074024	Microtubule associated protein EB1(BIM1)		
ANI_1_1074034	Carboxylesterase family		
ANI_1_1074084			
ANI_1_1074104	Aminotransferase class-V		
ANI_1_1074124	Mucin family signaling protein Msb2(MSB2)		
ANI_1_1074164	ABC transporter transmembrane region		
ANI_1_1074184	Alpha and gamma adaptin binding protein p34		
ANI_1_1076014	Phosphoribosylaminoimidazole carboxylase		4.1.1.21
ANI_1_1076024	F-box and wd40 domain protein		
ANI_1_1076034	Thiopurine S-methyltransferase (TPMT)		2.1.1.165
ANI_1_1076064	Peptidase (PNG1)(png1)		3.5.1.52
ANI_1_1076074	Isopentenyl-diphosphate delta-isomerase(IDI1)		5.3.3.2
ANI_1_1076084	fad binding domain protein		
ANI_1_1076094	3-hydroxyacyl-CoA dehydrogenase NAD binding domain family protein		
ANI_1_1076124	Mitochondrial 18 KDa protein (MTP18)		
ANI_1_1076144	Belongs to the protein kinase superfamily(CKA2)		2.7.11.1
ANI_1_1076164	Homeobox and C2H2 transcription factor		
ANI_1_1076184	Small nuclear ribonucleoprotein(SMD3)		
ANI_1_1078024	NAD binding Rossmann fold oxidoreductase		
ANI_1_1078034			
ANI_1_1078064	Alpha,alpha-trehalose-phosphate synthase(TPS1)		2.4.1.15,2.4.1.347
ANI_1_1078104	C6 finger domain protein		
ANI_1_1078124	Belongs to the type-B carboxylesterase lipase family		
ANI_1_1078144	Ribosome biogenesis protein(RPF2)		
ANI_1_1078164	Major Facilitator Superfamily		
ANI_1_1080024	Belongs to the DapA family		4.1.2.54
ANI_1_1080034	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1080074	MATE efflux family protein		
ANI_1_1080084			
ANI_1_1080104			
ANI_1_1080124	Chromosome segregation protein (Pcs1)		
ANI_1_1080134	RNA recognition motif 2		
ANI_1_1080144	Peroxisomal membrane protein (PmpP24)		
ANI_1_1080164	Mannan endo-1,6-alpha-mannosidase		3.2.1.101
ANI_1_1080184	Homeodomain(PHO2)		
ANI_1_108034	Glycosyl hydrolase family 62		
ANI_1_108114			
ANI_1_108124			
ANI_1_108134	Bifunctional purine biosynthetic protein Ade1(ade1)		6.3.3.1,6.3.4.13
ANI_1_108154	Belongs to the tannase family		3.1.1.20
ANI_1_108164			
ANI_1_108184	Isochorismatase family		
ANI_1_1082014	COP9 signalosome subunit 7 (CsnG)		
ANI_1_1082034	Sugar (and other) transporter		
ANI_1_1082064	Chromatin assembly factor 1 subunit B(CAC2)		
ANI_1_1082084			
ANI_1_1082124	GPI-anchor biosynthetic protein (Mcd4)(MCD4)		
ANI_1_1082134	mannose-ethanolamine phosphotransferase activity(LAS21)		
ANI_1_1082164			
ANI_1_1084014	RGS domain protein (Rax1)(RAX1)		
ANI_1_1084024	- Schizosaccharomyces pombe		
ANI_1_1084034	Acyl CoA binding protein		
ANI_1_1084064			
ANI_1_1084074	ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs(DBP10)		3.6.4.13
ANI_1_1084084			
ANI_1_1084124			
ANI_1_1084134	Belongs to the mitochondrial carrier (TC 2.A.29) family(FLX1)		
ANI_1_1084164	alcohol dehydrogenase		
ANI_1_1084184	Domain with 2 conserved Trp (W) residues		
ANI_1_1086014	Histone acetyltransferase GCN5(GCN5)		2.3.1.48
ANI_1_1086034	Serine hydrolase (FSH1)		
ANI_1_1086064	NADH flavin oxidoreductase NADH oxidase family protein		1.6.99.1
ANI_1_1086074	short-chain dehydrogenase		
ANI_1_1086084			
ANI_1_1086094	Transcription factor		
ANI_1_1086124	reductase		
ANI_1_1086134	snRNA cap binding complex subunit (Gcr3)(cbc1)		
ANI_1_1086164	Protein of unknown function (DUF1365)		
ANI_1_1088034	polyketide synthase		
ANI_1_1088074	DNA binding domain with preference for A/T rich regions		
ANI_1_1088084			
ANI_1_1088094	alpha/beta hydrolase fold		3.1.1.94
ANI_1_1088124	Rhodanese Homology Domain		2.5.1.47
ANI_1_1088134	Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2- thiolation reaction by being thiocarboxylated (-COSH) at its C- terminus by the MOCS3 homolog UBA4. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. Prior mcm(5) tRNA modification by the elongator complex is required for 2- thiolation. Also acts as a ubiquitin-like protein (UBL) that is covalently conjugated via an isopeptide bond to lysine residues of target proteins such as AHP1. The thiocarboxylated form serves as substrate for conjugation and oxidative stress specifically induces the formation of UBL-protein conjugates(URM1)		
ANI_1_1088164	Enoyl-(Acyl carrier protein) reductase		
ANI_1_1088184	Transcription factor RfeF		
ANI_1_1090014	Oligosaccharyltransferase subunit 5		
ANI_1_1090024	Bacterial transferase hexapeptide (six repeats)		
ANI_1_1090034			
ANI_1_1090064	GPR FUN34 family protein(mug86)		
ANI_1_1090104	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family		
ANI_1_1090124	RING finger protein (Zin)		
ANI_1_1090134	ABC transporter(CAF16)		
ANI_1_1090144	Pfam:Ureidogly_hydro		4.3.2.3
ANI_1_1090164	monooxygenase		1.14.13.22
ANI_1_1090184	NAD binding Rossmann fold oxidoreductase		
ANI_1_1092034	Belongs to the iron ascorbate-dependent oxidoreductase family		
ANI_1_1092064	Fungal specific transcription factor domain		
ANI_1_1092084	Fungal specific transcription factor		
ANI_1_1092124	uridine kinase activity		2.7.1.31
ANI_1_1092134	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37(tit1)		2.5.1.75
ANI_1_1092164	Cytochrome P450		
ANI_1_1092184	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane(srp72)		
ANI_1_1094024	Belongs to the small GTPase superfamily. Arf family		
ANI_1_1094034	Isochorismatase family		
ANI_1_1094064	ANTH domain		
ANI_1_1094084	Fringe-like		
ANI_1_1094124	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation(NIP1)		
ANI_1_1094134	Polysaccharide deacetylase family protein		
ANI_1_1094164	CorA family metal ion transporter		
ANI_1_1096024	Protein of unknown function (DUF2945)		
ANI_1_1096034	protein polyubiquitination		
