Gene	GOID	ONTOLOGY	TERM
NCU00067	GO:0019348	BP	dolichol metabolic process
NCU00067	GO:0030176	CC	integral component of endoplasmic reticulum membrane
NCU00068	GO:0005515	MF	protein binding
NCU00076	GO:0003676	MF	nucleic acid binding
NCU00077	GO:0003677	MF	DNA binding
NCU00077	GO:0006303	BP	double-strand break repair via nonhomologous end joining
NCU00077	GO:0003677	MF	DNA binding
NCU00077	GO:0006310	BP	DNA recombination
NCU00077	GO:0005634	CC	nucleus
NCU00077	GO:0003684	MF	damaged DNA binding
NCU00077	GO:0006303	BP	double-strand break repair via nonhomologous end joining
NCU00077	GO:0000723	BP	telomere maintenance
NCU00077	GO:0043564	CC	Ku70:Ku80 complex
NCU00077	GO:0042162	MF	telomeric DNA binding
NCU00077	GO:0016817	MF	hydrolase activity
NCU00081	GO:0003677	MF	DNA binding
NCU00081	GO:0003916	MF	DNA topoisomerase activity
NCU00081	GO:0006265	BP	DNA topological change
NCU00081	GO:0003677	MF	DNA binding
NCU00081	GO:0006265	BP	DNA topological change
NCU00081	GO:0003916	MF	DNA topoisomerase activity
NCU00081	GO:0003677	MF	DNA binding
NCU00081	GO:0006265	BP	DNA topological change
NCU00081	GO:0003917	MF	DNA topoisomerase type I (single strand cut
NCU00086	GO:0003824	MF	catalytic activity
NCU00087	GO:0005975	BP	carbohydrate metabolic process
NCU00087	GO:0006098	BP	pentose-phosphate shunt
NCU00087	GO:0017057	MF	6-phosphogluconolactonase activity
NCU00087	GO:0005975	BP	carbohydrate metabolic process
NCU00088	GO:0016791	MF	phosphatase activity
NCU00089	GO:0005515	MF	protein binding
NCU00091	GO:0005515	MF	protein binding
NCU00092	GO:0006364	BP	rRNA processing
NCU00095	GO:0005515	MF	protein binding
NCU00095	GO:0016570	BP	histone modification
NCU00095	GO:0006355	BP	regulation of transcription
NCU00097	GO:0003677	MF	DNA binding
NCU00097	GO:0003677	MF	DNA binding
NCU00097	GO:0006355	BP	regulation of transcription
NCU00100	GO:0003677	MF	DNA binding
NCU00101	GO:0006506	BP	GPI anchor biosynthetic process
NCU00101	GO:0005789	CC	endoplasmic reticulum membrane
NCU00101	GO:0006506	BP	GPI anchor biosynthetic process
NCU00101	GO:0000030	MF	mannosyltransferase activity
NCU00104	GO:0005524	MF	ATP binding
NCU00105	GO:0003723	MF	RNA binding
NCU00105	GO:0042255	BP	ribosome assembly
NCU00105	GO:0005634	CC	nucleus
NCU00106	GO:0004349	MF	glutamate 5-kinase activity
NCU00106	GO:0006561	BP	proline biosynthetic process
NCU00106	GO:0003723	MF	RNA binding
NCU00106	GO:0006561	BP	proline biosynthetic process
NCU00106	GO:0005737	CC	cytoplasm
NCU00106	GO:0004349	MF	glutamate 5-kinase activity
NCU00106	GO:0006561	BP	proline biosynthetic process
NCU00106	GO:0005737	CC	cytoplasm
NCU00107	GO:0004222	MF	metalloendopeptidase activity
NCU00108	GO:0004672	MF	protein kinase activity
NCU00108	GO:0006468	BP	protein phosphorylation
NCU00108	GO:0004672	MF	protein kinase activity
NCU00108	GO:0006468	BP	protein phosphorylation
NCU00108	GO:0005524	MF	ATP binding
NCU00108	GO:0004672	MF	protein kinase activity
NCU00108	GO:0005524	MF	ATP binding
NCU00112	GO:0070006	MF	metalloaminopeptidase activity
NCU00112	GO:0016787	MF	hydrolase activity
NCU00114	GO:0005840	CC	ribosome
NCU00114	GO:0003735	MF	structural constituent of ribosome
NCU00114	GO:0006412	BP	translation
NCU00117	GO:0000145	CC	exocyst
NCU00117	GO:0006904	BP	vesicle docking involved in exocytosis
NCU00118	GO:0003676	MF	nucleic acid binding
NCU00120	GO:0005515	MF	protein binding
NCU00121	GO:0055085	BP	transmembrane transport
NCU00121	GO:0016020	CC	membrane
NCU00121	GO:0005247	MF	voltage-gated chloride channel activity
NCU00121	GO:0006821	BP	chloride transport
NCU00122	GO:0008270	MF	zinc ion binding
NCU00122	GO:0004177	MF	aminopeptidase activity
NCU00122	GO:0006508	BP	proteolysis
NCU00122	GO:0004177	MF	aminopeptidase activity
NCU00124	GO:0005634	CC	nucleus
NCU00124	GO:0003713	MF	transcription coactivator activity
NCU00129	GO:0003824	MF	catalytic activity
NCU00133	GO:0003677	MF	DNA binding
NCU00133	GO:0005634	CC	nucleus
NCU00134	GO:0000049	MF	tRNA binding
NCU00134	GO:0008536	MF	Ran GTPase binding
NCU00134	GO:0071528	BP	tRNA re-export from nucleus
NCU00134	GO:0006409	BP	tRNA export from nucleus
NCU00135	GO:0008654	BP	phospholipid biosynthetic process
NCU00135	GO:0016020	CC	membrane
NCU00135	GO:0016780	MF	phosphotransferase activity
NCU00136	GO:0002098	BP	tRNA wobble uridine modification
NCU00136	GO:0050660	MF	flavin adenine dinucleotide binding
NCU00136	GO:0008033	BP	tRNA processing
NCU00137	GO:0003697	MF	single-stranded DNA binding
NCU00137	GO:0006260	BP	DNA replication
NCU00137	GO:0003697	MF	single-stranded DNA binding
NCU00138	GO:0016021	CC	integral component of membrane
NCU00138	GO:0007186	BP	G protein-coupled receptor signaling pathway
NCU00138	GO:0004932	MF	mating-type factor pheromone receptor activity
NCU00145	GO:0003677	MF	DNA binding
NCU00145	GO:0000786	CC	nucleosome
NCU00145	GO:0046982	MF	protein heterodimerization activity
NCU00145	GO:0003677	MF	DNA binding
NCU00147	GO:0055114	BP	oxidation-reduction process
NCU00147	GO:0010309	MF	acireductone dioxygenase [iron(II)-requiring] activity
NCU00147	GO:0016491	MF	oxidoreductase activity
NCU00147	GO:0019509	BP	L-methionine salvage from methylthioadenosine
NCU00150	GO:0000105	BP	histidine biosynthetic process
NCU00150	GO:0003949	MF	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
NCU00150	GO:0003824	MF	catalytic activity
NCU00150	GO:0000105	BP	histidine biosynthetic process
NCU00153	GO:0016491	MF	oxidoreductase activity
NCU00153	GO:0055114	BP	oxidation-reduction process
NCU00154	GO:0070006	MF	metalloaminopeptidase activity
NCU00154	GO:0030145	MF	manganese ion binding
NCU00155	GO:0003677	MF	DNA binding
NCU00155	GO:0005634	CC	nucleus
NCU00155	GO:0006351	BP	transcription
NCU00155	GO:0008270	MF	 DNA-templated
NCU00155	GO:0042025	CC	zinc ion binding
NCU00155	GO:0008270	MF	host cell nucleus
NCU00155	GO:0000981	MF	zinc ion binding
NCU00155	GO:0006355	BP	DNA-binding transcription factor activity
NCU00157	GO:0000338	BP	protein deneddylation
NCU00157	GO:0008180	CC	COP9 signalosome
NCU00158	GO:0005681	CC	spliceosomal complex
NCU00158	GO:0008380	BP	RNA splicing
NCU00158	GO:0008380	BP	RNA splicing
NCU00162	GO:0016020	CC	membrane
NCU00163	GO:0042283	MF	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1
NCU00163	GO:0005783	CC	3-glucosyltransferase activity
NCU00163	GO:0006490	BP	endoplasmic reticulum
NCU00163	GO:0016758	MF	oligosaccharide-lipid intermediate biosynthetic process
NCU00163	GO:0005789	CC	transferase activity
NCU00166	GO:0003824	MF	catalytic activity
NCU00168	GO:0016746	MF	transferase activity
NCU00168	GO:0008654	BP	 transferring acyl groups
NCU00168	GO:0003841	MF	phospholipid biosynthetic process
NCU00168	GO:0016020	CC	1-acylglycerol-3-phosphate O-acyltransferase activity
NCU00169	GO:0031204	BP	posttranslational protein targeting to membrane
NCU00170	GO:0005515	MF	protein binding
NCU00171	GO:0005509	MF	calcium ion binding
NCU00172	GO:0017112	MF	Rab guanyl-nucleotide exchange factor activity
NCU00173	GO:0018738	MF	S-formylglutathione hydrolase activity
NCU00173	GO:0046294	BP	formaldehyde catabolic process
NCU00177	GO:0004637	MF	phosphoribosylamine-glycine ligase activity
NCU00177	GO:0009113	BP	purine nucleobase biosynthetic process
NCU00177	GO:0009113	BP	purine nucleobase biosynthetic process
NCU00177	GO:0004637	MF	phosphoribosylamine-glycine ligase activity
NCU00177	GO:0046872	MF	metal ion binding
NCU00177	GO:0005524	MF	ATP binding
NCU00177	GO:0004641	MF	phosphoribosylformylglycinamidine cyclo-ligase activity
NCU00177	GO:0006189	BP	'de novo' IMP biosynthetic process
NCU00177	GO:0005524	MF	ATP binding
NCU00180	GO:0042025	CC	host cell nucleus
NCU00180	GO:0008270	MF	zinc ion binding
NCU00180	GO:0000981	MF	DNA-binding transcription factor activity
NCU00180	GO:0006355	BP	 RNA polymerase II-specific
NCU00181	GO:0000413	BP	protein peptidyl-prolyl isomerization
NCU00181	GO:0003755	MF	peptidyl-prolyl cis-trans isomerase activity
NCU00181	GO:0016567	BP	protein ubiquitination
NCU00181	GO:0004842	MF	ubiquitin-protein transferase activity
NCU00181	GO:0003755	MF	peptidyl-prolyl cis-trans isomerase activity
NCU00181	GO:0006457	BP	protein folding
NCU00182	GO:0016021	CC	integral component of membrane
NCU00186	GO:0016301	MF	kinase activity
NCU00186	GO:0005524	MF	ATP binding
NCU00187	GO:0003824	MF	catalytic activity
NCU00188	GO:0004672	MF	protein kinase activity
NCU00188	GO:0006468	BP	protein phosphorylation
NCU00188	GO:0005524	MF	ATP binding
NCU00188	GO:0005524	MF	ATP binding
NCU00188	GO:0004672	MF	protein kinase activity
NCU00188	GO:0006468	BP	protein phosphorylation
NCU00188	GO:0004674	MF	protein serine/threonine kinase activity
NCU00193	GO:0016757	MF	transferase activity
NCU00193	GO:0004376	MF	 transferring glycosyl groups
NCU00193	GO:0006506	BP	glycolipid mannosyltransferase activity
NCU00193	GO:0000026	MF	GPI anchor biosynthetic process
NCU00195	GO:0022857	MF	transmembrane transporter activity
NCU00195	GO:0022857	MF	transmembrane transporter activity
NCU00195	GO:0055085	BP	transmembrane transport
NCU00196	GO:0007165	BP	signal transduction
NCU00199	GO:0017056	MF	structural constituent of nuclear pore
NCU00200	GO:0003824	MF	catalytic activity
NCU00200	GO:0004640	MF	phosphoribosylanthranilate isomerase activity
NCU00200	GO:0006568	BP	tryptophan metabolic process
NCU00200	GO:0004425	MF	indole-3-glycerol-phosphate synthase activity
NCU00200	GO:0004640	MF	phosphoribosylanthranilate isomerase activity
NCU00200	GO:0004425	MF	indole-3-glycerol-phosphate synthase activity
NCU00200	GO:0004049	MF	anthranilate synthase activity
NCU00200	GO:0006568	BP	tryptophan metabolic process
NCU00200	GO:0004425	MF	indole-3-glycerol-phosphate synthase activity
NCU00202	GO:0005515	MF	protein binding
NCU00203	GO:0070403	MF	NAD+ binding
NCU00205	GO:0005515	MF	protein binding
NCU00205	GO:0005634	CC	nucleus
NCU00205	GO:0004197	MF	cysteine-type endopeptidase activity
NCU00205	GO:0006508	BP	proteolysis
NCU00205	GO:0006508	BP	proteolysis
NCU00205	GO:0004197	MF	cysteine-type endopeptidase activity
NCU00206	GO:0030248	MF	cellulose binding
NCU00206	GO:0005975	BP	carbohydrate metabolic process
NCU00206	GO:0005576	CC	extracellular region
NCU00206	GO:0055114	BP	oxidation-reduction process
NCU00206	GO:0050660	MF	flavin adenine dinucleotide binding
NCU00206	GO:0016614	MF	oxidoreductase activity
NCU00206	GO:0005975	BP	 acting on CH-OH group of donors
NCU00206	GO:0030248	MF	carbohydrate metabolic process
NCU00206	GO:0005576	CC	cellulose binding
NCU00206	GO:0055114	BP	extracellular region
NCU00206	GO:0016614	MF	oxidation-reduction process
NCU00207	GO:0031418	MF	L-ascorbic acid binding
NCU00207	GO:0055114	BP	oxidation-reduction process
NCU00207	GO:0005506	MF	iron ion binding
NCU00207	GO:0016705	MF	oxidoreductase activity
NCU00207	GO:0016491	MF	 acting on paired donors
NCU00207	GO:0055114	BP	 with incorporation or reduction of molecular oxygen
NCU00209	GO:0005515	MF	protein binding
NCU00209	GO:0017056	MF	structural constituent of nuclear pore
NCU00209	GO:0000055	BP	ribosomal large subunit export from nucleus
NCU00209	GO:0006913	BP	nucleocytoplasmic transport
NCU00209	GO:0000056	BP	ribosomal small subunit export from nucleus
NCU00210	GO:0003676	MF	nucleic acid binding
NCU00210	GO:0045292	BP	mRNA cis splicing
NCU00210	GO:0005846	CC	 via spliceosome
NCU00210	GO:0000339	MF	nuclear cap binding complex
NCU00212	GO:0003677	MF	DNA binding
NCU00212	GO:0046982	MF	protein heterodimerization activity
NCU00212	GO:0006352	BP	DNA-templated transcription
NCU00212	GO:0003677	MF	 initiation
NCU00212	GO:0000786	CC	DNA binding
NCU00212	GO:0042025	CC	nucleosome
NCU00213	GO:0005515	MF	protein binding
NCU00216	GO:0016491	MF	oxidoreductase activity
NCU00216	GO:0055114	BP	oxidation-reduction process
NCU00218	GO:0005525	MF	GTP binding
NCU00219	GO:0051015	MF	actin filament binding
NCU00220	GO:0016592	CC	mediator complex
NCU00220	GO:0003712	MF	transcription coregulator activity
NCU00220	GO:0006357	BP	regulation of transcription by RNA polymerase II
NCU00223	GO:0003700	MF	DNA-binding transcription factor activity
NCU00223	GO:0006355	BP	regulation of transcription
NCU00225	GO:0003723	MF	RNA binding
NCU00226	GO:0022857	MF	transmembrane transporter activity
NCU00226	GO:0055085	BP	transmembrane transport
NCU00227	GO:0015075	MF	ion transmembrane transporter activity
NCU00227	GO:0016020	CC	membrane
NCU00227	GO:0055085	BP	transmembrane transport
NCU00227	GO:0006811	BP	ion transport
NCU00230	GO:0004672	MF	protein kinase activity
NCU00230	GO:0006468	BP	protein phosphorylation
NCU00230	GO:0005524	MF	ATP binding
NCU00230	GO:0005524	MF	ATP binding
NCU00230	GO:0004672	MF	protein kinase activity
NCU00230	GO:0006468	BP	protein phosphorylation
NCU00232	GO:0008033	BP	tRNA processing
NCU00233	GO:0005975	BP	carbohydrate metabolic process
NCU00233	GO:0004553	MF	hydrolase activity
NCU00236	GO:0010181	MF	FMN binding
NCU00237	GO:0004115	MF	3'
NCU00237	GO:0006198	BP	5'-cyclic-AMP phosphodiesterase activity
NCU00238	GO:0010468	BP	regulation of gene expression
NCU00238	GO:0003682	MF	chromatin binding
NCU00239	GO:0003824	MF	catalytic activity
NCU00240	GO:0016787	MF	hydrolase activity
NCU00242	GO:0035091	MF	phosphatidylinositol binding
NCU00243	GO:0005515	MF	protein binding
NCU00243	GO:0008017	MF	microtubule binding
NCU00249	GO:0004190	MF	aspartic-type endopeptidase activity
NCU00249	GO:0006508	BP	proteolysis
NCU00251	GO:0004198	MF	calcium-dependent cysteine-type endopeptidase activity
NCU00251	GO:0006508	BP	proteolysis
NCU00257	GO:0005869	CC	dynactin complex
NCU00258	GO:0005840	CC	ribosome
NCU00258	GO:0006412	BP	translation
NCU00258	GO:0003735	MF	structural constituent of ribosome
NCU00260	GO:0016491	MF	oxidoreductase activity
NCU00260	GO:0008270	MF	zinc ion binding
NCU00260	GO:0055114	BP	oxidation-reduction process
NCU00260	GO:0055114	BP	oxidation-reduction process
NCU00260	GO:0016491	MF	oxidoreductase activity
NCU00261	GO:0006221	BP	pyrimidine nucleotide biosynthetic process
NCU00261	GO:0003883	MF	CTP synthase activity
NCU00261	GO:0006241	BP	CTP biosynthetic process
NCU00261	GO:0003883	MF	CTP synthase activity
NCU00263	GO:0006508	BP	proteolysis
NCU00263	GO:0008236	MF	serine-type peptidase activity
NCU00263	GO:0004252	MF	serine-type endopeptidase activity
NCU00263	GO:0016020	CC	membrane
NCU00263	GO:0005618	CC	cell wall
NCU00263	GO:0004252	MF	serine-type endopeptidase activity
NCU00263	GO:0006508	BP	proteolysis
NCU00269	GO:0005694	CC	chromosome
NCU00269	GO:0034968	BP	histone lysine methylation
NCU00269	GO:0006355	BP	regulation of transcription
NCU00269	GO:0018024	MF	 DNA-templated
NCU00269	GO:0005515	MF	histone-lysine N-methyltransferase activity
NCU00269	GO:0005634	CC	protein binding
NCU00269	GO:0018024	MF	nucleus
NCU00269	GO:0010452	BP	histone-lysine N-methyltransferase activity
NCU00269	GO:0046975	MF	histone H3-K36 methylation
NCU00269	GO:0006354	BP	histone methyltransferase activity (H3-K36 specific)
NCU00272	GO:0031625	MF	ubiquitin protein ligase binding
NCU00272	GO:0006511	BP	ubiquitin-dependent protein catabolic process
NCU00273	GO:0005643	CC	nuclear pore
NCU00274	GO:0005515	MF	protein binding
NCU00274	GO:0016301	MF	kinase activity
NCU00274	GO:0004674	MF	protein serine/threonine kinase activity
NCU00274	GO:0010212	BP	response to ionizing radiation
NCU00274	GO:0000723	BP	telomere maintenance
NCU00274	GO:0016572	BP	histone phosphorylation
NCU00274	GO:0004674	MF	protein serine/threonine kinase activity
NCU00274	GO:0006281	BP	DNA repair
NCU00274	GO:0000077	BP	DNA damage checkpoint
NCU00276	GO:0003677	MF	DNA binding
NCU00276	GO:0006260	BP	DNA replication
NCU00276	GO:0003887	MF	DNA-directed DNA polymerase activity
NCU00276	GO:0006260	BP	DNA replication
NCU00276	GO:0005760	CC	gamma DNA polymerase complex
NCU00276	GO:0003677	MF	DNA binding
NCU00276	GO:0006260	BP	DNA replication
NCU00276	GO:0003887	MF	DNA-directed DNA polymerase activity
NCU00277	GO:0005515	MF	protein binding
NCU00278	GO:0009055	MF	electron transfer activity
NCU00278	GO:0008137	MF	NADH dehydrogenase (ubiquinone) activity
NCU00278	GO:0016020	CC	membrane
NCU00280	GO:0006891	BP	intra-Golgi vesicle-mediated transport
NCU00280	GO:0017119	CC	Golgi transport complex
NCU00281	GO:0008194	MF	UDP-glycosyltransferase activity
NCU00281	GO:0016758	MF	transferase activity
NCU00281	GO:0005975	BP	 transferring hexosyl groups
NCU00281	GO:0030259	BP	carbohydrate metabolic process
NCU00289	GO:0042025	CC	host cell nucleus
NCU00289	GO:0008270	MF	zinc ion binding
NCU00289	GO:0000981	MF	DNA-binding transcription factor activity
NCU00289	GO:0006355	BP	 RNA polymerase II-specific
NCU00289	GO:0003677	MF	regulation of transcription
NCU00289	GO:0005634	CC	 DNA-templated
NCU00289	GO:0006351	BP	DNA binding
NCU00289	GO:0008270	MF	nucleus
NCU00290	GO:0016020	CC	membrane
NCU00290	GO:0016887	MF	ATPase activity
NCU00290	GO:0005524	MF	ATP binding
NCU00292	GO:0004104	MF	cholinesterase activity
NCU00293	GO:0016787	MF	hydrolase activity
NCU00293	GO:0016787	MF	hydrolase activity
NCU00293	GO:0046872	MF	metal ion binding
NCU00294	GO:0003735	MF	structural constituent of ribosome
NCU00294	GO:0003723	MF	RNA binding
NCU00294	GO:0015934	CC	large ribosomal subunit
NCU00294	GO:0006412	BP	translation
NCU00295	GO:0034599	BP	cellular response to oxidative stress
NCU00296	GO:0005515	MF	protein binding
NCU00298	GO:0022857	MF	transmembrane transporter activity
NCU00298	GO:0055085	BP	transmembrane transport
NCU00299	GO:0003824	MF	catalytic activity
NCU00305	GO:0016491	MF	oxidoreductase activity
NCU00306	GO:0022857	MF	transmembrane transporter activity
NCU00306	GO:0022857	MF	transmembrane transporter activity
NCU00306	GO:0055085	BP	transmembrane transport
NCU00308	GO:0008168	MF	methyltransferase activity
NCU00310	GO:0005515	MF	protein binding
NCU00310	GO:0006383	BP	transcription by RNA polymerase III
NCU00315	GO:0005840	CC	ribosome
NCU00315	GO:0003735	MF	structural constituent of ribosome
NCU00315	GO:0006412	BP	translation
NCU00317	GO:0004198	MF	calcium-dependent cysteine-type endopeptidase activity
NCU00317	GO:0006508	BP	proteolysis
NCU00319	GO:0006364	BP	rRNA processing
NCU00319	GO:0008033	BP	tRNA processing
NCU00320	GO:0016579	BP	protein deubiquitination
NCU00320	GO:0036459	MF	thiol-dependent ubiquitinyl hydrolase activity
NCU00320	GO:0006511	BP	ubiquitin-dependent protein catabolic process
NCU00320	GO:0036459	MF	thiol-dependent ubiquitinyl hydrolase activity
NCU00329	GO:0003700	MF	DNA-binding transcription factor activity
NCU00329	GO:0006355	BP	regulation of transcription
NCU00330	GO:0007249	BP	I-kappaB kinase/NF-kappaB signaling
NCU00334	GO:0006396	BP	RNA processing
NCU00334	GO:0000178	CC	exosome (RNase complex)
NCU00335	GO:0005681	CC	spliceosomal complex
NCU00335	GO:0000398	BP	mRNA splicing
NCU00338	GO:0004190	MF	aspartic-type endopeptidase activity
NCU00338	GO:0004190	MF	aspartic-type endopeptidase activity
NCU00338	GO:0006508	BP	proteolysis
NCU00340	GO:0005634	CC	nucleus
NCU00340	GO:0003700	MF	DNA-binding transcription factor activity
NCU00340	GO:0006355	BP	regulation of transcription
NCU00344	GO:0042025	CC	host cell nucleus
NCU00344	GO:0008270	MF	zinc ion binding
NCU00344	GO:0000981	MF	DNA-binding transcription factor activity
NCU00344	GO:0006355	BP	 RNA polymerase II-specific
NCU00346	GO:0016021	CC	integral component of membrane
NCU00346	GO:0047750	MF	cholestenol delta-isomerase activity
NCU00346	GO:0016125	BP	sterol metabolic process
NCU00348	GO:0000398	BP	mRNA splicing
NCU00350	GO:0003824	MF	catalytic activity
NCU00352	GO:0000166	MF	nucleotide binding
NCU00352	GO:0016021	CC	integral component of membrane
NCU00352	GO:0015914	BP	phospholipid transport
NCU00352	GO:0000287	MF	magnesium ion binding
NCU00352	GO:0005524	MF	ATP binding
NCU00352	GO:0140326	MF	ATPase-coupled intramembrane lipid transporter activity
NCU00352	GO:0016021	CC	integral component of membrane
NCU00355	GO:0004096	MF	catalase activity
NCU00355	GO:0020037	MF	heme binding
NCU00355	GO:0006979	BP	response to oxidative stress
NCU00355	GO:0055114	BP	oxidation-reduction process
NCU00355	GO:0055114	BP	oxidation-reduction process
NCU00355	GO:0004096	MF	catalase activity
NCU00355	GO:0020037	MF	heme binding
NCU00355	GO:0004096	MF	catalase activity
NCU00355	GO:0055114	BP	oxidation-reduction process
NCU00355	GO:0020037	MF	heme binding
NCU00355	GO:0004096	MF	catalase activity
NCU00355	GO:0055114	BP	oxidation-reduction process
NCU00355	GO:0020037	MF	heme binding
NCU00356	GO:0016021	CC	integral component of membrane
NCU00356	GO:1901642	BP	nucleoside transmembrane transport
NCU00356	GO:0005337	MF	nucleoside transmembrane transporter activity
NCU00357	GO:0032865	CC	ERMES complex
NCU00357	GO:0007005	BP	mitochondrion organization
NCU00357	GO:0008289	MF	lipid binding
NCU00358	GO:0035299	MF	inositol pentakisphosphate 2-kinase activity
NCU00358	GO:0005524	MF	ATP binding
NCU00359	GO:0006355	BP	regulation of transcription
NCU00359	GO:0000812	CC	 DNA-templated
NCU00359	GO:0035267	CC	Swr1 complex
NCU00360	GO:0003824	MF	catalytic activity
NCU00363	GO:0005515	MF	protein binding
NCU00366	GO:0005515	MF	protein binding
