Gene	Description	Symbol	EC
TRIREDRAFT_104354			
TRIREDRAFT_104356	MAP kinase activity		2.7.11.24
TRIREDRAFT_104359	incompatibility protein		
TRIREDRAFT_104364	P21-Rho-binding domain(STE20)		2.7.11.1
TRIREDRAFT_104368	Conserved hypothetical protein		
TRIREDRAFT_104369			
TRIREDRAFT_104370			
TRIREDRAFT_104372	ankyrin repeats		
TRIREDRAFT_104373			
TRIREDRAFT_104377	oxidoreductase fad-binding domain-containing protein		
TRIREDRAFT_104380	Fungal specific transcription factor domain		
TRIREDRAFT_104382	Acyltransferase family		
TRIREDRAFT_104390	Glutathione S-transferase, C-terminal domain(URE2)		2.5.1.18
TRIREDRAFT_104393	methyltransferase		
TRIREDRAFT_104394	Serine aminopeptidase, S33		
TRIREDRAFT_104395	ML-like domain		
TRIREDRAFT_104399			
TRIREDRAFT_104400	Demethylates proteins that have been reversibly carboxymethylated(PPE1)		3.1.1.89
TRIREDRAFT_104401	CFEM domain		
TRIREDRAFT_104413			
TRIREDRAFT_104415	PHD zinc finger		
TRIREDRAFT_104418	FAD binding domain		1.14.13.1
TRIREDRAFT_104419			
TRIREDRAFT_104421	ankyrin repeats		
TRIREDRAFT_104422	ATPase family associated with various cellular activities (AAA)		
TRIREDRAFT_104423			
TRIREDRAFT_104425			
TRIREDRAFT_104435			
TRIREDRAFT_104437			
TRIREDRAFT_104438	D-lactate dehydrogenase(DLD1)		1.1.2.4
TRIREDRAFT_104448			
TRIREDRAFT_104451	Ppx/GppA phosphatase family(RTG2)		
TRIREDRAFT_104454			
TRIREDRAFT_104455			
TRIREDRAFT_104458			
TRIREDRAFT_104461	Serine aminopeptidase, S33		
TRIREDRAFT_104463	Serine threonine-protein kinase sgk2		
TRIREDRAFT_104469			
TRIREDRAFT_104474	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family(KIP2)		
TRIREDRAFT_104490	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor(GOS1)		
TRIREDRAFT_104491	Ribosomal L29 protein(rpl35)		
TRIREDRAFT_104494			
TRIREDRAFT_104495	helicase superfamily c-terminal domain(PRP5)		3.6.4.13
TRIREDRAFT_104501			
TRIREDRAFT_104511			
TRIREDRAFT_104513	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_104514	Membrane bound O-acyl transferase family		
TRIREDRAFT_104533			
TRIREDRAFT_104535	glycine rich nucleic binding domain(PXR1)		2.3.1.22
TRIREDRAFT_104541	Histone acetyltransferase subunit NuA4(EAF6)		
TRIREDRAFT_104547	3' exoribonuclease family, domain 1(RRP46)		
TRIREDRAFT_104549			
TRIREDRAFT_104551			
TRIREDRAFT_104556			
TRIREDRAFT_104557	KR domain		
TRIREDRAFT_104573	Fungal domain of unknown function (DUF1750)		
TRIREDRAFT_104576			
TRIREDRAFT_104577			
TRIREDRAFT_104584			
TRIREDRAFT_104585			
TRIREDRAFT_104592	protein ubiquitination		
TRIREDRAFT_104593	WD repeat-containing protein		
TRIREDRAFT_104595	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family(SNU13)		
TRIREDRAFT_104599	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain		4.2.1.146,4.2.1.68
TRIREDRAFT_104601	YT521-B-like domain		
TRIREDRAFT_104606	Iron-containing alcohol dehydrogenase		1.1.99.24
TRIREDRAFT_104609	Methyltransferase required for the conversion of 2- polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2-polyprenyl-3- methyl-6-methoxy-1,4-benzoquinol (DMQH2)(COQ5)		2.1.1.201
TRIREDRAFT_104617			
TRIREDRAFT_104623			
TRIREDRAFT_104639	Uso1 / p115 like vesicle tethering protein, C terminal region(USO1)		2.1.1.319
TRIREDRAFT_104643	Sfi1 spindle body protein		
TRIREDRAFT_104651	Protein of unknown function (DUF3602)		
TRIREDRAFT_104659	Saccharomyces cerevisiae YIL110w		2.1.1.85
TRIREDRAFT_104661			
TRIREDRAFT_104664	Beta-glucosidase (SUN family)(SUN4)		
TRIREDRAFT_104683	BAH domain(ORC1)		
TRIREDRAFT_104684			
TRIREDRAFT_104691	DNA binding domain with preference for A/T rich regions		
TRIREDRAFT_104695			
TRIREDRAFT_104704	Ribosomal Proteins L2, RNA binding domain(RML2)		
TRIREDRAFT_104707	WD domain, G-beta repeat		
TRIREDRAFT_104715			
TRIREDRAFT_104716			
TRIREDRAFT_104721	Nonessential protein required for the fusion of transport vesicles derived from the endocytic pathway with the Golgi complex(SFT2)		
TRIREDRAFT_104741	F-box domain containing protein		
TRIREDRAFT_104744	Cytochrome c oxidase assembly protein COX19(COX19)		
TRIREDRAFT_104750			
TRIREDRAFT_104762	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains		
TRIREDRAFT_104785	Inositol phosphatase		
TRIREDRAFT_104786	CASC3/Barentsz eIF4AIII binding		
TRIREDRAFT_104790	Tubulin is the major constituent of microtubules. The gamma chain is found at microtubule organizing centers (MTOC) such as the spindle poles or the centrosome(TUB4)		
TRIREDRAFT_104795			
TRIREDRAFT_104797	Belongs to the glycosyl hydrolase 3 family(bglM)		3.2.1.21
TRIREDRAFT_104803	Carbon-nitrogen hydrolase(NIT3)		3.5.1.3
TRIREDRAFT_104807	Uncharacterised conserved protein (DUF2373)		
TRIREDRAFT_104816	Major Facilitator Superfamily		
TRIREDRAFT_104820	3-alpha domain		
TRIREDRAFT_104831			
TRIREDRAFT_104838	F-box domain-containing protein		
TRIREDRAFT_104842	HIUase/Transthyretin family		3.5.2.17
TRIREDRAFT_104856	Fusaric acid resistance protein-like		
TRIREDRAFT_104867			
